,date,value,name_B0866FZYFH
159,2020-11-04,297.0,Fertilizers & Plant Food
160,2020-11-05,239.0,Fertilizers & Plant Food
161,2020-11-06,239.0,Fertilizers & Plant Food
162,2020-11-07,216.0,Fertilizers & Plant Food
163,2020-11-08,277.0,Fertilizers & Plant Food
164,2020-11-09,277.0,Fertilizers & Plant Food
165,2020-11-10,189.0,Fertilizers & Plant Food
166,2020-11-11,164.0,Fertilizers & Plant Food
167,2020-11-12,164.0,Fertilizers & Plant Food
168,2020-11-13,164.0,Fertilizers & Plant Food
169,2020-11-14,100.0,Fertilizers & Plant Food
170,2020-11-15,100.0,Fertilizers & Plant Food
171,2020-11-16,79.0,Fertilizers & Plant Food
172,2020-11-17,79.0,Fertilizers & Plant Food
173,2020-11-18,68.0,Fertilizers & Plant Food
174,2020-11-19,68.0,Fertilizers & Plant Food
175,2020-11-20,68.0,Fertilizers & Plant Food
176,2020-11-21,71.0,Fertilizers & Plant Food
177,2020-11-22,71.0,Fertilizers & Plant Food
178,2020-11-23,2.0,Fertilizers & Plant Food
179,2020-11-24,2.0,Fertilizers & Plant Food
180,2020-11-25,5.0,Fertilizers & Plant Food
181,2020-11-26,5.0,Fertilizers & Plant Food
182,2020-11-27,5.0,Fertilizers & Plant Food
183,2020-11-28,3.0,Fertilizers & Plant Food
184,2020-11-29,4.0,Fertilizers & Plant Food
185,2020-11-30,12.0,Fertilizers & Plant Food
186,2020-12-01,9.0,Fertilizers & Plant Food
187,2020-12-02,8.0,Fertilizers & Plant Food
188,2020-12-03,8.0,Fertilizers & Plant Food
189,2020-12-04,7.0,Fertilizers & Plant Food
190,2020-12-05,7.0,Fertilizers & Plant Food
191,2020-12-06,7.0,Fertilizers & Plant Food
192,2020-12-07,6.0,Fertilizers & Plant Food
193,2020-12-08,6.0,Fertilizers & Plant Food
194,2020-12-09,3.0,Fertilizers & Plant Food
195,2020-12-10,5.0,Fertilizers & Plant Food
196,2020-12-11,5.0,Fertilizers & Plant Food
197,2020-12-12,5.0,Fertilizers & Plant Food
198,2020-12-13,8.0,Fertilizers & Plant Food
199,2020-12-14,12.0,Fertilizers & Plant Food
200,2020-12-15,14.0,Fertilizers & Plant Food
201,2020-12-16,21.0,Fertilizers & Plant Food
202,2020-12-17,31.0,Fertilizers & Plant Food
203,2020-12-18,47.0,Fertilizers & Plant Food
204,2020-12-19,47.0,Fertilizers & Plant Food
205,2020-12-20,20.0,Fertilizers & Plant Food
206,2020-12-21,14.0,Fertilizers & Plant Food
207,2020-12-22,12.0,Fertilizers & Plant Food
208,2020-12-23,12.0,Fertilizers & Plant Food
