,date,value,name_B08CTCXZ38
140,2020-12-03,3389.0,Punches
141,2020-12-04,1833.0,Punches
142,2020-12-05,1833.0,Punches
143,2020-12-06,1833.0,Punches
144,2020-12-07,1833.0,Punches
145,2020-12-08,1833.0,Punches
146,2020-12-09,4111.0,Punches
147,2020-12-10,4111.0,Punches
148,2020-12-11,4111.0,Punches
149,2020-12-12,4111.0,Punches
150,2020-12-13,4111.0,Punches
151,2020-12-14,5004.0,Punches
152,2020-12-15,5004.0,Punches
153,2020-12-16,5599.0,Punches
154,2020-12-17,5542.0,Punches
155,2020-12-18,5542.0,Punches
156,2020-12-19,5542.0,Punches
157,2020-12-20,5542.0,Punches
158,2020-12-21,7087.0,Punches
