,date,value,name_B07KX86DZQ
248,2019-08-03,-1.0,Scissors
249,2019-08-04,-1.0,Scissors
250,2019-08-05,-1.0,Scissors
251,2019-08-06,-1.0,Scissors
252,2019-08-07,-1.0,Scissors
253,2019-08-08,-1.0,Scissors
254,2019-08-09,-1.0,Scissors
255,2019-08-10,-1.0,Scissors
256,2019-08-11,-1.0,Scissors
257,2019-08-12,-1.0,Scissors
258,2019-08-13,-1.0,Scissors
259,2019-08-14,-1.0,Scissors
260,2019-08-15,-1.0,Scissors
261,2019-08-16,-1.0,Scissors
262,2019-08-17,-1.0,Scissors
263,2019-08-18,-1.0,Scissors
264,2019-08-19,-1.0,Scissors
265,2019-08-20,-1.0,Scissors
266,2019-08-21,-1.0,Scissors
267,2019-08-22,-1.0,Scissors
268,2019-08-23,-1.0,Scissors
269,2019-08-24,-1.0,Scissors
270,2019-08-25,-1.0,Scissors
271,2019-08-26,-1.0,Scissors
272,2019-08-27,-1.0,Scissors
273,2019-08-28,-1.0,Scissors
274,2019-08-29,-1.0,Scissors
275,2019-08-30,-1.0,Scissors
276,2019-08-31,-1.0,Scissors
277,2019-09-01,-1.0,Scissors
278,2019-09-02,-1.0,Scissors
279,2019-09-03,-1.0,Scissors
280,2019-09-04,-1.0,Scissors
281,2019-09-05,-1.0,Scissors
282,2019-09-06,-1.0,Scissors
283,2019-09-07,-1.0,Scissors
284,2019-09-08,-1.0,Scissors
285,2019-09-09,-1.0,Scissors
286,2019-09-10,-1.0,Scissors
287,2019-09-11,-1.0,Scissors
288,2019-09-12,-1.0,Scissors
289,2019-09-13,-1.0,Scissors
290,2019-09-14,-1.0,Scissors
291,2019-09-15,-1.0,Scissors
292,2019-09-16,-1.0,Scissors
293,2019-09-17,-1.0,Scissors
294,2019-09-18,-1.0,Scissors
295,2019-09-19,-1.0,Scissors
296,2019-09-20,-1.0,Scissors
297,2019-09-21,-1.0,Scissors
298,2019-09-22,-1.0,Scissors
299,2019-09-23,-1.0,Scissors
300,2019-09-24,-1.0,Scissors
301,2019-09-25,-1.0,Scissors
302,2019-09-26,-1.0,Scissors
303,2019-09-27,-1.0,Scissors
304,2019-09-28,-1.0,Scissors
305,2019-09-29,-1.0,Scissors
306,2019-09-30,-1.0,Scissors
307,2019-10-01,-1.0,Scissors
308,2019-10-02,-1.0,Scissors
309,2019-10-03,-1.0,Scissors
310,2019-10-04,-1.0,Scissors
311,2019-10-05,-1.0,Scissors
312,2019-10-06,-1.0,Scissors
313,2019-10-07,-1.0,Scissors
314,2019-10-08,-1.0,Scissors
315,2019-10-09,-1.0,Scissors
316,2019-10-10,-1.0,Scissors
317,2019-10-11,-1.0,Scissors
318,2019-10-12,-1.0,Scissors
319,2019-10-13,-1.0,Scissors
320,2019-10-14,-1.0,Scissors
321,2019-10-15,-1.0,Scissors
322,2019-10-16,-1.0,Scissors
323,2019-10-17,-1.0,Scissors
324,2019-10-18,-1.0,Scissors
325,2019-10-19,-1.0,Scissors
326,2019-10-20,-1.0,Scissors
327,2019-10-21,-1.0,Scissors
328,2019-10-22,-1.0,Scissors
329,2019-10-23,-1.0,Scissors
330,2019-10-24,-1.0,Scissors
331,2019-10-25,-1.0,Scissors
332,2019-10-26,-1.0,Scissors
333,2019-10-27,-1.0,Scissors
334,2019-10-28,-1.0,Scissors
335,2019-10-29,-1.0,Scissors
336,2019-10-30,-1.0,Scissors
337,2019-10-31,-1.0,Scissors
338,2019-11-01,-1.0,Scissors
339,2019-11-02,-1.0,Scissors
340,2019-11-03,-1.0,Scissors
341,2019-11-04,-1.0,Scissors
342,2019-11-05,-1.0,Scissors
343,2019-11-06,-1.0,Scissors
344,2019-11-07,-1.0,Scissors
345,2019-11-08,-1.0,Scissors
346,2019-11-09,-1.0,Scissors
347,2019-11-10,-1.0,Scissors
348,2019-11-11,-1.0,Scissors
349,2019-11-12,-1.0,Scissors
350,2019-11-13,-1.0,Scissors
351,2019-11-14,-1.0,Scissors
352,2019-11-15,-1.0,Scissors
353,2019-11-16,-1.0,Scissors
354,2019-11-17,-1.0,Scissors
355,2019-11-18,59024.0,Scissors
356,2019-11-19,31443.0,Scissors
357,2019-11-20,31443.0,Scissors
358,2019-11-21,65747.0,Scissors
359,2019-11-22,43384.0,Scissors
360,2019-11-23,43384.0,Scissors
361,2019-11-24,43384.0,Scissors
362,2019-11-25,17744.0,Scissors
363,2019-11-26,58599.0,Scissors
364,2019-11-27,58599.0,Scissors
365,2019-11-28,58599.0,Scissors
366,2019-11-29,28850.0,Scissors
367,2019-11-30,28850.0,Scissors
368,2019-12-01,28850.0,Scissors
369,2019-12-02,16422.0,Scissors
370,2019-12-03,16422.0,Scissors
371,2019-12-04,16422.0,Scissors
372,2019-12-05,27974.0,Scissors
373,2019-12-06,26923.0,Scissors
374,2019-12-07,26923.0,Scissors
375,2019-12-08,26923.0,Scissors
376,2019-12-09,31673.0,Scissors
377,2019-12-10,31673.0,Scissors
378,2019-12-11,31673.0,Scissors
379,2019-12-12,40713.0,Scissors
380,2019-12-13,43541.0,Scissors
381,2019-12-14,43541.0,Scissors
382,2019-12-15,43541.0,Scissors
383,2019-12-16,43541.0,Scissors
384,2019-12-17,42799.0,Scissors
385,2019-12-18,44921.0,Scissors
386,2019-12-19,44921.0,Scissors
387,2019-12-20,53602.0,Scissors
388,2019-12-21,53602.0,Scissors
389,2019-12-22,53602.0,Scissors
390,2019-12-23,52225.0,Scissors
391,2019-12-24,50452.0,Scissors
392,2019-12-25,50452.0,Scissors
393,2019-12-26,50452.0,Scissors
394,2019-12-27,72976.0,Scissors
395,2019-12-28,57412.0,Scissors
396,2019-12-29,57412.0,Scissors
397,2019-12-30,57412.0,Scissors
398,2019-12-31,37749.0,Scissors
399,2020-01-01,37749.0,Scissors
400,2020-01-02,37749.0,Scissors
401,2020-01-03,37749.0,Scissors
402,2020-01-04,37749.0,Scissors
403,2020-01-05,37749.0,Scissors
404,2020-01-06,32066.0,Scissors
405,2020-01-07,32066.0,Scissors
406,2020-01-08,32066.0,Scissors
407,2020-01-09,38916.0,Scissors
