,date,value,name_B08QZHXWKZ
139,2021-06-24,53912.0,Vitamin C
140,2021-06-25,86525.0,Vitamin C
141,2021-06-26,92469.0,Vitamin C
142,2021-06-27,87406.0,Vitamin C
143,2021-06-28,127686.0,Vitamin C
144,2021-06-29,151699.0,Vitamin C
145,2021-06-30,133627.0,Vitamin C
146,2021-07-01,154258.0,Vitamin C
147,2021-07-02,174921.0,Vitamin C
148,2021-07-03,156850.0,Vitamin C
149,2021-07-04,161118.0,Vitamin C
150,2021-07-05,170374.0,Vitamin C
151,2021-07-06,179866.0,Vitamin C
152,2021-07-07,195780.0,Vitamin C
153,2021-07-08,214889.0,Vitamin C
154,2021-07-09,219113.0,Vitamin C
