,date,value,name_B08FCMF59L
157,2021-01-13,2282.0,Throw Pillow Covers
158,2021-01-14,2154.0,Throw Pillow Covers
159,2021-01-15,1974.0,Throw Pillow Covers
160,2021-01-16,2154.0,Throw Pillow Covers
161,2021-01-17,2258.0,Throw Pillow Covers
162,2021-01-18,2016.0,Throw Pillow Covers
163,2021-01-19,2258.0,Throw Pillow Covers
164,2021-01-20,2379.0,Throw Pillow Covers
165,2021-01-21,2551.0,Throw Pillow Covers
166,2021-01-22,3421.0,Throw Pillow Covers
167,2021-01-23,2766.0,Throw Pillow Covers
168,2021-01-24,2766.0,Throw Pillow Covers
169,2021-01-25,1916.0,Throw Pillow Covers
170,2021-01-26,2560.0,Throw Pillow Covers
171,2021-01-27,3137.0,Throw Pillow Covers
172,2021-01-28,3804.0,Throw Pillow Covers
173,2021-01-29,3416.0,Throw Pillow Covers
174,2021-01-30,2986.0,Throw Pillow Covers
175,2021-01-31,2986.0,Throw Pillow Covers
176,2021-02-01,3790.0,Throw Pillow Covers
177,2021-02-02,4000.0,Throw Pillow Covers
178,2021-02-03,3911.0,Throw Pillow Covers
179,2021-02-04,4382.0,Throw Pillow Covers
180,2021-02-05,5386.0,Throw Pillow Covers
181,2021-02-06,4202.0,Throw Pillow Covers
182,2021-02-07,4445.0,Throw Pillow Covers
183,2021-02-08,5114.0,Throw Pillow Covers
184,2021-02-09,5242.0,Throw Pillow Covers
185,2021-02-10,5942.0,Throw Pillow Covers
186,2021-02-11,7037.0,Throw Pillow Covers
187,2021-02-12,5896.0,Throw Pillow Covers
188,2021-02-13,5345.0,Throw Pillow Covers
189,2021-02-14,4926.0,Throw Pillow Covers
190,2021-02-15,4121.0,Throw Pillow Covers
191,2021-02-16,4189.0,Throw Pillow Covers
192,2021-02-17,4898.0,Throw Pillow Covers
193,2021-02-18,5923.0,Throw Pillow Covers
194,2021-02-19,4984.0,Throw Pillow Covers
195,2021-02-20,4859.0,Throw Pillow Covers
196,2021-02-21,4920.0,Throw Pillow Covers
197,2021-02-22,5222.0,Throw Pillow Covers
198,2021-02-23,5083.0,Throw Pillow Covers
199,2021-02-24,5182.0,Throw Pillow Covers
200,2021-02-25,5420.0,Throw Pillow Covers
201,2021-02-26,5476.0,Throw Pillow Covers
202,2021-02-27,4513.0,Throw Pillow Covers
203,2021-02-28,4619.0,Throw Pillow Covers
204,2021-03-01,3883.0,Throw Pillow Covers
205,2021-03-02,4682.0,Throw Pillow Covers
206,2021-03-03,3480.0,Throw Pillow Covers
207,2021-03-04,4778.0,Throw Pillow Covers
208,2021-03-05,4761.0,Throw Pillow Covers
209,2021-03-06,3908.0,Throw Pillow Covers
210,2021-03-07,3925.0,Throw Pillow Covers
211,2021-03-08,3826.0,Throw Pillow Covers
212,2021-03-09,4186.0,Throw Pillow Covers
213,2021-03-10,3410.0,Throw Pillow Covers
214,2021-03-11,3910.0,Throw Pillow Covers
215,2021-03-12,3578.0,Throw Pillow Covers
216,2021-03-13,3448.0,Throw Pillow Covers
217,2021-03-14,3448.0,Throw Pillow Covers
218,2021-03-15,3960.0,Throw Pillow Covers
219,2021-03-16,3717.0,Throw Pillow Covers
220,2021-03-17,4248.0,Throw Pillow Covers
221,2021-03-18,4330.0,Throw Pillow Covers
222,2021-03-19,4374.0,Throw Pillow Covers
223,2021-03-20,4148.0,Throw Pillow Covers
224,2021-03-21,4148.0,Throw Pillow Covers
225,2021-03-22,2977.0,Throw Pillow Covers
226,2021-03-23,3424.0,Throw Pillow Covers
227,2021-03-24,2975.0,Throw Pillow Covers
228,2021-03-25,3565.0,Throw Pillow Covers
229,2021-03-26,3535.0,Throw Pillow Covers
230,2021-03-27,3608.0,Throw Pillow Covers
231,2021-03-28,2928.0,Throw Pillow Covers
232,2021-03-29,3299.0,Throw Pillow Covers
233,2021-03-30,3974.0,Throw Pillow Covers
234,2021-03-31,4092.0,Throw Pillow Covers
235,2021-04-01,4056.0,Throw Pillow Covers
236,2021-04-02,4032.0,Throw Pillow Covers
237,2021-04-03,4237.0,Throw Pillow Covers
238,2021-04-04,4237.0,Throw Pillow Covers
239,2021-04-05,4576.0,Throw Pillow Covers
240,2021-04-06,4219.0,Throw Pillow Covers
241,2021-04-07,4320.0,Throw Pillow Covers
242,2021-04-08,3907.0,Throw Pillow Covers
243,2021-04-09,4621.0,Throw Pillow Covers
244,2021-04-10,4025.0,Throw Pillow Covers
245,2021-04-11,4025.0,Throw Pillow Covers
246,2021-04-12,4504.0,Throw Pillow Covers
247,2021-04-13,4788.0,Throw Pillow Covers
248,2021-04-14,4095.0,Throw Pillow Covers
249,2021-04-15,4445.0,Throw Pillow Covers
250,2021-04-16,4445.0,Throw Pillow Covers
251,2021-04-17,5983.0,Throw Pillow Covers
252,2021-04-18,4915.0,Throw Pillow Covers
253,2021-04-19,4850.0,Throw Pillow Covers
254,2021-04-20,5075.0,Throw Pillow Covers
255,2021-04-21,4593.0,Throw Pillow Covers
256,2021-04-22,4593.0,Throw Pillow Covers
257,2021-04-23,5862.0,Throw Pillow Covers
258,2021-04-24,5249.0,Throw Pillow Covers
259,2021-04-25,4655.0,Throw Pillow Covers
260,2021-04-26,5084.0,Throw Pillow Covers
261,2021-04-27,5479.0,Throw Pillow Covers
262,2021-04-28,5416.0,Throw Pillow Covers
263,2021-04-29,5815.0,Throw Pillow Covers
264,2021-04-30,6947.0,Throw Pillow Covers
265,2021-05-01,5654.0,Throw Pillow Covers
266,2021-05-02,5654.0,Throw Pillow Covers
267,2021-05-03,6610.0,Throw Pillow Covers
268,2021-05-04,6894.0,Throw Pillow Covers
269,2021-05-05,7709.0,Throw Pillow Covers
270,2021-05-06,6984.0,Throw Pillow Covers
271,2021-05-07,6494.0,Throw Pillow Covers
272,2021-05-08,6513.0,Throw Pillow Covers
273,2021-05-09,6471.0,Throw Pillow Covers
274,2021-05-10,5706.0,Throw Pillow Covers
275,2021-05-11,6869.0,Throw Pillow Covers
276,2021-05-12,5991.0,Throw Pillow Covers
277,2021-05-13,5672.0,Throw Pillow Covers
278,2021-05-14,6318.0,Throw Pillow Covers
279,2021-05-15,7348.0,Throw Pillow Covers
280,2021-05-16,7348.0,Throw Pillow Covers
281,2021-05-17,5867.0,Throw Pillow Covers
282,2021-05-18,5957.0,Throw Pillow Covers
283,2021-05-19,6304.0,Throw Pillow Covers
284,2021-05-20,5883.0,Throw Pillow Covers
285,2021-05-21,6712.0,Throw Pillow Covers
286,2021-05-22,5907.0,Throw Pillow Covers
287,2021-05-23,5402.0,Throw Pillow Covers
288,2021-05-24,6613.0,Throw Pillow Covers
289,2021-05-25,7876.0,Throw Pillow Covers
290,2021-05-26,7876.0,Throw Pillow Covers
291,2021-05-27,7604.0,Throw Pillow Covers
292,2021-05-28,7205.0,Throw Pillow Covers
293,2021-05-29,7640.0,Throw Pillow Covers
294,2021-05-30,6131.0,Throw Pillow Covers
295,2021-05-31,7079.0,Throw Pillow Covers
296,2021-06-01,6790.0,Throw Pillow Covers
297,2021-06-02,8226.0,Throw Pillow Covers
298,2021-06-03,9994.0,Throw Pillow Covers
299,2021-06-04,9174.0,Throw Pillow Covers
300,2021-06-05,9170.0,Throw Pillow Covers
301,2021-06-06,9170.0,Throw Pillow Covers
302,2021-06-07,10161.0,Throw Pillow Covers
303,2021-06-08,10449.0,Throw Pillow Covers
304,2021-06-09,9177.0,Throw Pillow Covers
305,2021-06-10,9275.0,Throw Pillow Covers
306,2021-06-11,9463.0,Throw Pillow Covers
307,2021-06-12,9463.0,Throw Pillow Covers
308,2021-06-13,7278.0,Throw Pillow Covers
309,2021-06-14,7278.0,Throw Pillow Covers
310,2021-06-15,8294.0,Throw Pillow Covers
311,2021-06-16,8294.0,Throw Pillow Covers
312,2021-06-17,8032.0,Throw Pillow Covers
313,2021-06-18,10625.0,Throw Pillow Covers
314,2021-06-19,10625.0,Throw Pillow Covers
315,2021-06-20,8184.0,Throw Pillow Covers
316,2021-06-21,8342.0,Throw Pillow Covers
317,2021-06-22,12252.0,Throw Pillow Covers
318,2021-06-23,12252.0,Throw Pillow Covers
319,2021-06-24,8409.0,Throw Pillow Covers
320,2021-06-25,8432.0,Throw Pillow Covers
321,2021-06-26,8315.0,Throw Pillow Covers
322,2021-06-27,8315.0,Throw Pillow Covers
323,2021-06-28,8244.0,Throw Pillow Covers
324,2021-06-29,8244.0,Throw Pillow Covers
325,2021-06-30,7514.0,Throw Pillow Covers
326,2021-07-01,7317.0,Throw Pillow Covers
327,2021-07-02,7731.0,Throw Pillow Covers
328,2021-07-03,7516.0,Throw Pillow Covers
329,2021-07-04,7516.0,Throw Pillow Covers
330,2021-07-05,7738.0,Throw Pillow Covers
331,2021-07-06,8809.0,Throw Pillow Covers
332,2021-07-07,8767.0,Throw Pillow Covers
333,2021-07-08,8767.0,Throw Pillow Covers
334,2021-07-09,8224.0,Throw Pillow Covers
335,2021-07-10,8493.0,Throw Pillow Covers
