,date,value,name_B08C2VZ7FG
126,2021-01-08,30346.0,Self-Watering Stakes
127,2021-01-09,30346.0,Self-Watering Stakes
128,2021-01-10,30346.0,Self-Watering Stakes
129,2021-01-11,17974.0,Self-Watering Stakes
130,2021-01-12,17974.0,Self-Watering Stakes
131,2021-01-13,17974.0,Self-Watering Stakes
132,2021-01-14,17974.0,Self-Watering Stakes
133,2021-01-15,17974.0,Self-Watering Stakes
134,2021-01-16,17974.0,Self-Watering Stakes
135,2021-01-17,17974.0,Self-Watering Stakes
136,2021-01-18,17974.0,Self-Watering Stakes
137,2021-01-19,12190.0,Self-Watering Stakes
138,2021-01-20,12190.0,Self-Watering Stakes
139,2021-01-21,12190.0,Self-Watering Stakes
140,2021-01-22,15578.0,Self-Watering Stakes
141,2021-01-23,12303.0,Self-Watering Stakes
142,2021-01-24,12303.0,Self-Watering Stakes
143,2021-01-25,12303.0,Self-Watering Stakes
144,2021-01-26,12303.0,Self-Watering Stakes
145,2021-01-27,10844.0,Self-Watering Stakes
146,2021-01-28,6957.0,Self-Watering Stakes
147,2021-01-29,8289.0,Self-Watering Stakes
148,2021-01-30,8289.0,Self-Watering Stakes
149,2021-01-31,8289.0,Self-Watering Stakes
150,2021-02-01,7080.0,Self-Watering Stakes
151,2021-02-02,7080.0,Self-Watering Stakes
152,2021-02-03,7080.0,Self-Watering Stakes
153,2021-02-04,5488.0,Self-Watering Stakes
154,2021-02-05,5488.0,Self-Watering Stakes
155,2021-02-06,7080.0,Self-Watering Stakes
156,2021-02-07,5478.0,Self-Watering Stakes
157,2021-02-08,5478.0,Self-Watering Stakes
158,2021-02-09,5703.0,Self-Watering Stakes
159,2021-02-10,5703.0,Self-Watering Stakes
160,2021-02-11,5703.0,Self-Watering Stakes
161,2021-02-12,5703.0,Self-Watering Stakes
162,2021-02-13,5703.0,Self-Watering Stakes
163,2021-02-14,5703.0,Self-Watering Stakes
164,2021-02-15,5703.0,Self-Watering Stakes
165,2021-02-16,5703.0,Self-Watering Stakes
166,2021-02-17,3438.0,Self-Watering Stakes
167,2021-02-18,4873.0,Self-Watering Stakes
168,2021-02-19,4873.0,Self-Watering Stakes
169,2021-02-20,4873.0,Self-Watering Stakes
170,2021-02-21,4873.0,Self-Watering Stakes
171,2021-02-22,5117.0,Self-Watering Stakes
172,2021-02-23,4386.0,Self-Watering Stakes
173,2021-02-24,6222.0,Self-Watering Stakes
174,2021-02-25,6222.0,Self-Watering Stakes
175,2021-02-26,6222.0,Self-Watering Stakes
176,2021-02-27,6222.0,Self-Watering Stakes
177,2021-02-28,12343.0,Self-Watering Stakes
178,2021-03-01,17050.0,Self-Watering Stakes
179,2021-03-02,17050.0,Self-Watering Stakes
180,2021-03-03,17050.0,Self-Watering Stakes
181,2021-03-04,18313.0,Self-Watering Stakes
182,2021-03-05,27256.0,Self-Watering Stakes
183,2021-03-06,27256.0,Self-Watering Stakes
184,2021-03-07,27256.0,Self-Watering Stakes
185,2021-03-08,27256.0,Self-Watering Stakes
186,2021-03-09,65354.0,Self-Watering Stakes
187,2021-03-10,65354.0,Self-Watering Stakes
188,2021-03-11,65354.0,Self-Watering Stakes
189,2021-03-12,65354.0,Self-Watering Stakes
190,2021-03-13,75726.0,Self-Watering Stakes
191,2021-03-14,75726.0,Self-Watering Stakes
192,2021-03-15,75726.0,Self-Watering Stakes
193,2021-03-16,75726.0,Self-Watering Stakes
194,2021-03-17,75726.0,Self-Watering Stakes
195,2021-03-18,116675.0,Self-Watering Stakes
196,2021-03-19,116675.0,Self-Watering Stakes
197,2021-03-20,116675.0,Self-Watering Stakes
198,2021-03-21,116675.0,Self-Watering Stakes
199,2021-03-22,116675.0,Self-Watering Stakes
200,2021-03-23,155536.0,Self-Watering Stakes
201,2021-03-24,155536.0,Self-Watering Stakes
202,2021-03-25,155536.0,Self-Watering Stakes
203,2021-03-26,155536.0,Self-Watering Stakes
204,2021-03-27,155536.0,Self-Watering Stakes
205,2021-03-28,155536.0,Self-Watering Stakes
206,2021-03-29,84455.0,Self-Watering Stakes
207,2021-03-30,84455.0,Self-Watering Stakes
208,2021-03-31,84455.0,Self-Watering Stakes
209,2021-04-01,84455.0,Self-Watering Stakes
210,2021-04-02,84455.0,Self-Watering Stakes
211,2021-04-03,84455.0,Self-Watering Stakes
212,2021-04-04,84455.0,Self-Watering Stakes
213,2021-04-05,84455.0,Self-Watering Stakes
214,2021-04-06,84455.0,Self-Watering Stakes
215,2021-04-07,84455.0,Self-Watering Stakes
216,2021-04-08,9681.0,Self-Watering Stakes
217,2021-04-09,9681.0,Self-Watering Stakes
218,2021-04-10,9681.0,Self-Watering Stakes
219,2021-04-11,9681.0,Self-Watering Stakes
220,2021-04-12,11337.0,Self-Watering Stakes
221,2021-04-13,11337.0,Self-Watering Stakes
222,2021-04-14,7941.0,Self-Watering Stakes
223,2021-04-15,7941.0,Self-Watering Stakes
224,2021-04-16,7941.0,Self-Watering Stakes
225,2021-04-17,8996.0,Self-Watering Stakes
226,2021-04-18,8996.0,Self-Watering Stakes
227,2021-04-19,7971.0,Self-Watering Stakes
228,2021-04-20,7971.0,Self-Watering Stakes
229,2021-04-21,7971.0,Self-Watering Stakes
230,2021-04-22,7971.0,Self-Watering Stakes
231,2021-04-23,4568.0,Self-Watering Stakes
232,2021-04-24,4568.0,Self-Watering Stakes
233,2021-04-25,4675.0,Self-Watering Stakes
234,2021-04-26,4675.0,Self-Watering Stakes
235,2021-04-27,4675.0,Self-Watering Stakes
236,2021-04-28,3520.0,Self-Watering Stakes
237,2021-04-29,3520.0,Self-Watering Stakes
238,2021-04-30,3464.0,Self-Watering Stakes
239,2021-05-01,3464.0,Self-Watering Stakes
240,2021-05-02,3464.0,Self-Watering Stakes
241,2021-05-03,3810.0,Self-Watering Stakes
242,2021-05-04,3810.0,Self-Watering Stakes
243,2021-05-05,4374.0,Self-Watering Stakes
244,2021-05-06,4374.0,Self-Watering Stakes
245,2021-05-07,4414.0,Self-Watering Stakes
246,2021-05-08,4414.0,Self-Watering Stakes
247,2021-05-09,5445.0,Self-Watering Stakes
248,2021-05-10,5445.0,Self-Watering Stakes
249,2021-05-11,4041.0,Self-Watering Stakes
250,2021-05-12,4041.0,Self-Watering Stakes
251,2021-05-13,4497.0,Self-Watering Stakes
252,2021-05-14,4497.0,Self-Watering Stakes
253,2021-05-15,4497.0,Self-Watering Stakes
254,2021-05-16,5326.0,Self-Watering Stakes
255,2021-05-17,7057.0,Self-Watering Stakes
256,2021-05-18,7057.0,Self-Watering Stakes
257,2021-05-19,8352.0,Self-Watering Stakes
258,2021-05-20,5734.0,Self-Watering Stakes
259,2021-05-21,5734.0,Self-Watering Stakes
260,2021-05-22,9613.0,Self-Watering Stakes
261,2021-05-23,9613.0,Self-Watering Stakes
262,2021-05-24,9652.0,Self-Watering Stakes
263,2021-05-25,11032.0,Self-Watering Stakes
264,2021-05-26,26278.0,Self-Watering Stakes
265,2021-05-27,36233.0,Self-Watering Stakes
266,2021-05-28,41392.0,Self-Watering Stakes
267,2021-05-29,41392.0,Self-Watering Stakes
268,2021-05-30,41392.0,Self-Watering Stakes
269,2021-05-31,25782.0,Self-Watering Stakes
270,2021-06-01,25782.0,Self-Watering Stakes
271,2021-06-02,25782.0,Self-Watering Stakes
272,2021-06-03,25782.0,Self-Watering Stakes
273,2021-06-04,6299.0,Self-Watering Stakes
274,2021-06-05,6299.0,Self-Watering Stakes
275,2021-06-06,6065.0,Self-Watering Stakes
276,2021-06-07,8336.0,Self-Watering Stakes
277,2021-06-08,8336.0,Self-Watering Stakes
278,2021-06-09,8623.0,Self-Watering Stakes
279,2021-06-10,8569.0,Self-Watering Stakes
280,2021-06-11,8569.0,Self-Watering Stakes
281,2021-06-12,8569.0,Self-Watering Stakes
282,2021-06-13,3725.0,Self-Watering Stakes
283,2021-06-14,3725.0,Self-Watering Stakes
284,2021-06-15,3725.0,Self-Watering Stakes
285,2021-06-16,3465.0,Self-Watering Stakes
286,2021-06-17,3465.0,Self-Watering Stakes
287,2021-06-18,2903.0,Self-Watering Stakes
288,2021-06-19,2903.0,Self-Watering Stakes
289,2021-06-20,2195.0,Self-Watering Stakes
290,2021-06-21,2195.0,Self-Watering Stakes
291,2021-06-22,2195.0,Self-Watering Stakes
292,2021-06-23,2760.0,Self-Watering Stakes
293,2021-06-24,2760.0,Self-Watering Stakes
294,2021-06-25,2760.0,Self-Watering Stakes
295,2021-06-26,1369.0,Self-Watering Stakes
296,2021-06-27,1106.0,Self-Watering Stakes
297,2021-06-28,1106.0,Self-Watering Stakes
298,2021-06-29,707.0,Self-Watering Stakes
299,2021-06-30,707.0,Self-Watering Stakes
300,2021-07-01,1047.0,Self-Watering Stakes
301,2021-07-02,1265.0,Self-Watering Stakes
302,2021-07-03,1327.0,Self-Watering Stakes
303,2021-07-04,1327.0,Self-Watering Stakes
304,2021-07-05,963.0,Self-Watering Stakes
305,2021-07-06,963.0,Self-Watering Stakes
306,2021-07-07,867.0,Self-Watering Stakes
307,2021-07-08,893.0,Self-Watering Stakes
308,2021-07-09,893.0,Self-Watering Stakes
309,2021-07-10,1318.0,Self-Watering Stakes
