,date,value,name_B08R6T3GTP
65,2021-03-07,1507.0,Krill Oils
66,2021-03-08,1414.0,Krill Oils
67,2021-03-09,1414.0,Krill Oils
68,2021-03-10,1477.0,Krill Oils
69,2021-03-11,1505.0,Krill Oils
70,2021-03-12,1505.0,Krill Oils
71,2021-03-13,1461.0,Krill Oils
72,2021-03-14,1461.0,Krill Oils
73,2021-03-15,1119.0,Krill Oils
74,2021-03-16,1214.0,Krill Oils
75,2021-03-17,1370.0,Krill Oils
76,2021-03-18,1234.0,Krill Oils
77,2021-03-19,1234.0,Krill Oils
78,2021-03-20,1234.0,Krill Oils
79,2021-03-21,1399.0,Krill Oils
80,2021-03-22,1399.0,Krill Oils
81,2021-03-23,1399.0,Krill Oils
82,2021-03-24,1568.0,Krill Oils
83,2021-03-25,1568.0,Krill Oils
84,2021-03-26,1407.0,Krill Oils
85,2021-03-27,1407.0,Krill Oils
86,2021-03-28,1407.0,Krill Oils
87,2021-03-29,1373.0,Krill Oils
88,2021-03-30,1535.0,Krill Oils
89,2021-03-31,1458.0,Krill Oils
90,2021-04-01,1458.0,Krill Oils
91,2021-04-02,1458.0,Krill Oils
92,2021-04-03,1357.0,Krill Oils
93,2021-04-04,1357.0,Krill Oils
94,2021-04-05,1357.0,Krill Oils
95,2021-04-06,1527.0,Krill Oils
96,2021-04-07,1527.0,Krill Oils
97,2021-04-08,1555.0,Krill Oils
98,2021-04-09,1555.0,Krill Oils
99,2021-04-10,1555.0,Krill Oils
100,2021-04-11,1780.0,Krill Oils
101,2021-04-12,1768.0,Krill Oils
102,2021-04-13,1768.0,Krill Oils
103,2021-04-14,1768.0,Krill Oils
104,2021-04-15,1513.0,Krill Oils
105,2021-04-16,1190.0,Krill Oils
106,2021-04-17,1190.0,Krill Oils
107,2021-04-18,1192.0,Krill Oils
108,2021-04-19,1192.0,Krill Oils
109,2021-04-20,1315.0,Krill Oils
110,2021-04-21,1249.0,Krill Oils
111,2021-04-22,1249.0,Krill Oils
112,2021-04-23,1404.0,Krill Oils
113,2021-04-24,1432.0,Krill Oils
114,2021-04-25,1432.0,Krill Oils
115,2021-04-26,1309.0,Krill Oils
116,2021-04-27,1309.0,Krill Oils
117,2021-04-28,1387.0,Krill Oils
118,2021-04-29,1387.0,Krill Oils
119,2021-04-30,1455.0,Krill Oils
120,2021-05-01,1455.0,Krill Oils
121,2021-05-02,1455.0,Krill Oils
122,2021-05-03,1235.0,Krill Oils
123,2021-05-04,1235.0,Krill Oils
124,2021-05-05,1235.0,Krill Oils
125,2021-05-06,1468.0,Krill Oils
126,2021-05-07,1505.0,Krill Oils
127,2021-05-08,1505.0,Krill Oils
128,2021-05-09,1448.0,Krill Oils
129,2021-05-10,1448.0,Krill Oils
130,2021-05-11,1366.0,Krill Oils
131,2021-05-12,1452.0,Krill Oils
132,2021-05-13,1452.0,Krill Oils
133,2021-05-14,1423.0,Krill Oils
134,2021-05-15,1423.0,Krill Oils
135,2021-05-16,1423.0,Krill Oils
136,2021-05-17,1207.0,Krill Oils
137,2021-05-18,1207.0,Krill Oils
138,2021-05-19,1529.0,Krill Oils
139,2021-05-20,1530.0,Krill Oils
140,2021-05-21,1432.0,Krill Oils
141,2021-05-22,1381.0,Krill Oils
142,2021-05-23,1434.0,Krill Oils
143,2021-05-24,1434.0,Krill Oils
144,2021-05-25,1558.0,Krill Oils
145,2021-05-26,1558.0,Krill Oils
146,2021-05-27,1401.0,Krill Oils
147,2021-05-28,1401.0,Krill Oils
148,2021-05-29,1399.0,Krill Oils
149,2021-05-30,1399.0,Krill Oils
150,2021-05-31,1213.0,Krill Oils
151,2021-06-01,1213.0,Krill Oils
152,2021-06-02,1269.0,Krill Oils
153,2021-06-03,1322.0,Krill Oils
154,2021-06-04,1322.0,Krill Oils
155,2021-06-05,1402.0,Krill Oils
156,2021-06-06,1402.0,Krill Oils
157,2021-06-07,1455.0,Krill Oils
158,2021-06-08,1455.0,Krill Oils
159,2021-06-09,1567.0,Krill Oils
160,2021-06-10,1320.0,Krill Oils
161,2021-06-11,1361.0,Krill Oils
162,2021-06-12,1361.0,Krill Oils
163,2021-06-13,1087.0,Krill Oils
164,2021-06-14,1320.0,Krill Oils
165,2021-06-15,1320.0,Krill Oils
166,2021-06-16,1102.0,Krill Oils
167,2021-06-17,1227.0,Krill Oils
168,2021-06-18,1227.0,Krill Oils
169,2021-06-19,1227.0,Krill Oils
170,2021-06-20,1332.0,Krill Oils
171,2021-06-21,1380.0,Krill Oils
172,2021-06-22,947.0,Krill Oils
173,2021-06-23,947.0,Krill Oils
174,2021-06-24,947.0,Krill Oils
175,2021-06-25,1070.0,Krill Oils
176,2021-06-26,1070.0,Krill Oils
177,2021-06-27,1065.0,Krill Oils
178,2021-06-28,1065.0,Krill Oils
179,2021-06-29,1065.0,Krill Oils
180,2021-06-30,1261.0,Krill Oils
181,2021-07-01,1261.0,Krill Oils
182,2021-07-02,1321.0,Krill Oils
183,2021-07-03,1321.0,Krill Oils
184,2021-07-04,1321.0,Krill Oils
185,2021-07-05,1111.0,Krill Oils
186,2021-07-06,1111.0,Krill Oils
187,2021-07-07,1448.0,Krill Oils
188,2021-07-08,1448.0,Krill Oils
189,2021-07-09,1303.0,Krill Oils
190,2021-07-10,1303.0,Krill Oils
191,2021-07-11,1299.0,Krill Oils
