,date,value,name_B084P3JZ6T
115,2020-10-14,2010.0,Permanent Markers
116,2020-10-15,2010.0,Permanent Markers
117,2020-10-16,2010.0,Permanent Markers
118,2020-10-17,2010.0,Permanent Markers
119,2020-10-18,7580.0,Permanent Markers
120,2020-10-19,7580.0,Permanent Markers
121,2020-10-20,7580.0,Permanent Markers
122,2020-10-21,7580.0,Permanent Markers
123,2020-10-22,5847.0,Permanent Markers
124,2020-10-23,6014.0,Permanent Markers
125,2020-10-24,6014.0,Permanent Markers
126,2020-10-25,6014.0,Permanent Markers
127,2020-10-26,9440.0,Permanent Markers
128,2020-10-27,9440.0,Permanent Markers
129,2020-10-28,5150.0,Permanent Markers
130,2020-10-29,5150.0,Permanent Markers
131,2020-10-30,5150.0,Permanent Markers
132,2020-10-31,5150.0,Permanent Markers
133,2020-11-01,6165.0,Permanent Markers
134,2020-11-02,6165.0,Permanent Markers
135,2020-11-03,6165.0,Permanent Markers
136,2020-11-04,6165.0,Permanent Markers
137,2020-11-05,7705.0,Permanent Markers
138,2020-11-06,7705.0,Permanent Markers
139,2020-11-07,5666.0,Permanent Markers
140,2020-11-08,5666.0,Permanent Markers
141,2020-11-09,5666.0,Permanent Markers
142,2020-11-10,5666.0,Permanent Markers
143,2020-11-11,8333.0,Permanent Markers
144,2020-11-12,8333.0,Permanent Markers
145,2020-11-13,8333.0,Permanent Markers
146,2020-11-14,8333.0,Permanent Markers
147,2020-11-15,6412.0,Permanent Markers
148,2020-11-16,6412.0,Permanent Markers
149,2020-11-17,6412.0,Permanent Markers
150,2020-11-18,6412.0,Permanent Markers
151,2020-11-19,6412.0,Permanent Markers
152,2020-11-20,6412.0,Permanent Markers
153,2020-11-21,9248.0,Permanent Markers
154,2020-11-22,9248.0,Permanent Markers
155,2020-11-23,9662.0,Permanent Markers
156,2020-11-24,9662.0,Permanent Markers
157,2020-11-25,10606.0,Permanent Markers
158,2020-11-26,10606.0,Permanent Markers
159,2020-11-27,10606.0,Permanent Markers
160,2020-11-28,6515.0,Permanent Markers
161,2020-11-29,6515.0,Permanent Markers
162,2020-11-30,6515.0,Permanent Markers
163,2020-12-01,6713.0,Permanent Markers
164,2020-12-02,6713.0,Permanent Markers
165,2020-12-03,6713.0,Permanent Markers
166,2020-12-04,5567.0,Permanent Markers
167,2020-12-05,8793.0,Permanent Markers
168,2020-12-06,8793.0,Permanent Markers
169,2020-12-07,8793.0,Permanent Markers
170,2020-12-08,8793.0,Permanent Markers
171,2020-12-09,8793.0,Permanent Markers
172,2020-12-10,10779.0,Permanent Markers
173,2020-12-11,10779.0,Permanent Markers
174,2020-12-12,10779.0,Permanent Markers
175,2020-12-13,10779.0,Permanent Markers
176,2020-12-14,14616.0,Permanent Markers
177,2020-12-15,14616.0,Permanent Markers
178,2020-12-16,14616.0,Permanent Markers
179,2020-12-17,10467.0,Permanent Markers
180,2020-12-18,10467.0,Permanent Markers
181,2020-12-19,10467.0,Permanent Markers
182,2020-12-20,10467.0,Permanent Markers
183,2020-12-21,13623.0,Permanent Markers
184,2020-12-22,13623.0,Permanent Markers
185,2020-12-23,13623.0,Permanent Markers
186,2020-12-24,13623.0,Permanent Markers
187,2020-12-25,13623.0,Permanent Markers
188,2020-12-26,13623.0,Permanent Markers
189,2020-12-27,13623.0,Permanent Markers
190,2020-12-28,13623.0,Permanent Markers
191,2020-12-29,13623.0,Permanent Markers
192,2020-12-30,13623.0,Permanent Markers
193,2020-12-31,12978.0,Permanent Markers
194,2021-01-01,12978.0,Permanent Markers
195,2021-01-02,12978.0,Permanent Markers
196,2021-01-03,12978.0,Permanent Markers
197,2021-01-04,16497.0,Permanent Markers
198,2021-01-05,11866.0,Permanent Markers
199,2021-01-06,11866.0,Permanent Markers
200,2021-01-07,11866.0,Permanent Markers
201,2021-01-08,11062.0,Permanent Markers
202,2021-01-09,11062.0,Permanent Markers
203,2021-01-10,11062.0,Permanent Markers
204,2021-01-11,11062.0,Permanent Markers
205,2021-01-12,11062.0,Permanent Markers
206,2021-01-13,8173.0,Permanent Markers
207,2021-01-14,8173.0,Permanent Markers
208,2021-01-15,8173.0,Permanent Markers
209,2021-01-16,8173.0,Permanent Markers
210,2021-01-17,8173.0,Permanent Markers
211,2021-01-18,8173.0,Permanent Markers
212,2021-01-19,9497.0,Permanent Markers
213,2021-01-20,8055.0,Permanent Markers
214,2021-01-21,8055.0,Permanent Markers
215,2021-01-22,8055.0,Permanent Markers
216,2021-01-23,9023.0,Permanent Markers
217,2021-01-24,9023.0,Permanent Markers
218,2021-01-25,15221.0,Permanent Markers
219,2021-01-26,15221.0,Permanent Markers
220,2021-01-27,9794.0,Permanent Markers
221,2021-01-28,9794.0,Permanent Markers
222,2021-01-29,9794.0,Permanent Markers
223,2021-01-30,9794.0,Permanent Markers
224,2021-01-31,17137.0,Permanent Markers
225,2021-02-01,17137.0,Permanent Markers
226,2021-02-02,17137.0,Permanent Markers
227,2021-02-03,17137.0,Permanent Markers
228,2021-02-04,17137.0,Permanent Markers
229,2021-02-05,11011.0,Permanent Markers
230,2021-02-06,11011.0,Permanent Markers
231,2021-02-07,13037.0,Permanent Markers
232,2021-02-08,13037.0,Permanent Markers
233,2021-02-09,13037.0,Permanent Markers
234,2021-02-10,13037.0,Permanent Markers
235,2021-02-11,13037.0,Permanent Markers
236,2021-02-12,13037.0,Permanent Markers
237,2021-02-13,13037.0,Permanent Markers
238,2021-02-14,13037.0,Permanent Markers
239,2021-02-15,17025.0,Permanent Markers
240,2021-02-16,17025.0,Permanent Markers
241,2021-02-17,17025.0,Permanent Markers
242,2021-02-18,14830.0,Permanent Markers
243,2021-02-19,14847.0,Permanent Markers
244,2021-02-20,14847.0,Permanent Markers
245,2021-02-21,14847.0,Permanent Markers
246,2021-02-22,14847.0,Permanent Markers
247,2021-02-23,8893.0,Permanent Markers
248,2021-02-24,8893.0,Permanent Markers
249,2021-02-25,8674.0,Permanent Markers
250,2021-02-26,8674.0,Permanent Markers
251,2021-02-27,8674.0,Permanent Markers
252,2021-02-28,8674.0,Permanent Markers
253,2021-03-01,11837.0,Permanent Markers
254,2021-03-02,11837.0,Permanent Markers
255,2021-03-03,6324.0,Permanent Markers
256,2021-03-04,5437.0,Permanent Markers
257,2021-03-05,5437.0,Permanent Markers
258,2021-03-06,5437.0,Permanent Markers
259,2021-03-07,7407.0,Permanent Markers
260,2021-03-08,7407.0,Permanent Markers
261,2021-03-09,7407.0,Permanent Markers
262,2021-03-10,7407.0,Permanent Markers
263,2021-03-11,4930.0,Permanent Markers
264,2021-03-12,4930.0,Permanent Markers
265,2021-03-13,4930.0,Permanent Markers
266,2021-03-14,4930.0,Permanent Markers
267,2021-03-15,6597.0,Permanent Markers
268,2021-03-16,6597.0,Permanent Markers
269,2021-03-17,6597.0,Permanent Markers
270,2021-03-18,5620.0,Permanent Markers
271,2021-03-19,5620.0,Permanent Markers
272,2021-03-20,5620.0,Permanent Markers
273,2021-03-21,5620.0,Permanent Markers
274,2021-03-22,4812.0,Permanent Markers
275,2021-03-23,4812.0,Permanent Markers
276,2021-03-24,4812.0,Permanent Markers
277,2021-03-25,4812.0,Permanent Markers
278,2021-03-26,5078.0,Permanent Markers
279,2021-03-27,4333.0,Permanent Markers
280,2021-03-28,4333.0,Permanent Markers
281,2021-03-29,4333.0,Permanent Markers
282,2021-03-30,5799.0,Permanent Markers
283,2021-03-31,5799.0,Permanent Markers
284,2021-04-01,5799.0,Permanent Markers
285,2021-04-02,4171.0,Permanent Markers
286,2021-04-03,4171.0,Permanent Markers
287,2021-04-04,5837.0,Permanent Markers
288,2021-04-05,7033.0,Permanent Markers
289,2021-04-06,7033.0,Permanent Markers
290,2021-04-07,4378.0,Permanent Markers
291,2021-04-08,4378.0,Permanent Markers
292,2021-04-09,4378.0,Permanent Markers
293,2021-04-10,4378.0,Permanent Markers
294,2021-04-11,4378.0,Permanent Markers
295,2021-04-12,5270.0,Permanent Markers
296,2021-04-13,5270.0,Permanent Markers
297,2021-04-14,5270.0,Permanent Markers
298,2021-04-15,4042.0,Permanent Markers
299,2021-04-16,3354.0,Permanent Markers
300,2021-04-17,3354.0,Permanent Markers
301,2021-04-18,5374.0,Permanent Markers
302,2021-04-19,5374.0,Permanent Markers
303,2021-04-20,5374.0,Permanent Markers
304,2021-04-21,3821.0,Permanent Markers
305,2021-04-22,3821.0,Permanent Markers
306,2021-04-23,3854.0,Permanent Markers
307,2021-04-24,4301.0,Permanent Markers
308,2021-04-25,4301.0,Permanent Markers
309,2021-04-26,4301.0,Permanent Markers
310,2021-04-27,3425.0,Permanent Markers
311,2021-04-28,3425.0,Permanent Markers
312,2021-04-29,2448.0,Permanent Markers
313,2021-04-30,2448.0,Permanent Markers
314,2021-05-01,3298.0,Permanent Markers
315,2021-05-02,3298.0,Permanent Markers
316,2021-05-03,3298.0,Permanent Markers
317,2021-05-04,3810.0,Permanent Markers
318,2021-05-05,3810.0,Permanent Markers
319,2021-05-06,2514.0,Permanent Markers
320,2021-05-07,2514.0,Permanent Markers
321,2021-05-08,2514.0,Permanent Markers
322,2021-05-09,2514.0,Permanent Markers
323,2021-05-10,4034.0,Permanent Markers
324,2021-05-11,3003.0,Permanent Markers
325,2021-05-12,3003.0,Permanent Markers
326,2021-05-13,2377.0,Permanent Markers
327,2021-05-14,2377.0,Permanent Markers
328,2021-05-15,2583.0,Permanent Markers
329,2021-05-16,2583.0,Permanent Markers
330,2021-05-17,2583.0,Permanent Markers
331,2021-05-18,3219.0,Permanent Markers
332,2021-05-19,3219.0,Permanent Markers
333,2021-05-20,2627.0,Permanent Markers
334,2021-05-21,2264.0,Permanent Markers
335,2021-05-22,2264.0,Permanent Markers
336,2021-05-23,3138.0,Permanent Markers
337,2021-05-24,3138.0,Permanent Markers
338,2021-05-25,3132.0,Permanent Markers
339,2021-05-26,3132.0,Permanent Markers
340,2021-05-27,3132.0,Permanent Markers
341,2021-05-28,1980.0,Permanent Markers
342,2021-05-29,1980.0,Permanent Markers
343,2021-05-30,1980.0,Permanent Markers
344,2021-05-31,2608.0,Permanent Markers
345,2021-06-01,2608.0,Permanent Markers
346,2021-06-02,2608.0,Permanent Markers
347,2021-06-03,2608.0,Permanent Markers
348,2021-06-04,3143.0,Permanent Markers
349,2021-06-05,3143.0,Permanent Markers
350,2021-06-06,3143.0,Permanent Markers
351,2021-06-07,3582.0,Permanent Markers
352,2021-06-08,3582.0,Permanent Markers
353,2021-06-09,3582.0,Permanent Markers
354,2021-06-10,2530.0,Permanent Markers
355,2021-06-11,2530.0,Permanent Markers
356,2021-06-12,2989.0,Permanent Markers
357,2021-06-13,2989.0,Permanent Markers
358,2021-06-14,2989.0,Permanent Markers
359,2021-06-15,4639.0,Permanent Markers
360,2021-06-16,4639.0,Permanent Markers
361,2021-06-17,4171.0,Permanent Markers
362,2021-06-18,4171.0,Permanent Markers
363,2021-06-19,4295.0,Permanent Markers
364,2021-06-20,4295.0,Permanent Markers
365,2021-06-21,5433.0,Permanent Markers
366,2021-06-22,3198.0,Permanent Markers
367,2021-06-23,3198.0,Permanent Markers
368,2021-06-24,3850.0,Permanent Markers
369,2021-06-25,3850.0,Permanent Markers
370,2021-06-26,3850.0,Permanent Markers
371,2021-06-27,3850.0,Permanent Markers
372,2021-06-28,5470.0,Permanent Markers
373,2021-06-29,5470.0,Permanent Markers
374,2021-06-30,3909.0,Permanent Markers
375,2021-07-01,3909.0,Permanent Markers
376,2021-07-02,2957.0,Permanent Markers
377,2021-07-03,4170.0,Permanent Markers
378,2021-07-04,4170.0,Permanent Markers
379,2021-07-05,5339.0,Permanent Markers
380,2021-07-06,5254.0,Permanent Markers
381,2021-07-07,5254.0,Permanent Markers
382,2021-07-08,4355.0,Permanent Markers
383,2021-07-09,4355.0,Permanent Markers
384,2021-07-10,4762.0,Permanent Markers
