,date,value,name_B07QZYH2BR
199,2020-12-12,3519.0,Stretch Film
200,2020-12-13,3795.0,Stretch Film
201,2020-12-14,3795.0,Stretch Film
202,2020-12-15,3795.0,Stretch Film
203,2020-12-16,4806.0,Stretch Film
204,2020-12-17,4806.0,Stretch Film
205,2020-12-18,4408.0,Stretch Film
206,2020-12-19,5788.0,Stretch Film
207,2020-12-20,5788.0,Stretch Film
208,2020-12-21,5788.0,Stretch Film
209,2020-12-22,4160.0,Stretch Film
210,2020-12-23,4160.0,Stretch Film
211,2020-12-24,2946.0,Stretch Film
212,2020-12-25,3140.0,Stretch Film
213,2020-12-26,3140.0,Stretch Film
214,2020-12-27,3140.0,Stretch Film
215,2020-12-28,3225.0,Stretch Film
216,2020-12-29,3322.0,Stretch Film
217,2020-12-30,3322.0,Stretch Film
218,2020-12-31,4207.0,Stretch Film
219,2021-01-01,4207.0,Stretch Film
220,2021-01-02,4207.0,Stretch Film
221,2021-01-03,3120.0,Stretch Film
222,2021-01-04,3431.0,Stretch Film
223,2021-01-05,4490.0,Stretch Film
224,2021-01-06,4490.0,Stretch Film
225,2021-01-07,4490.0,Stretch Film
226,2021-01-08,4247.0,Stretch Film
227,2021-01-09,4247.0,Stretch Film
228,2021-01-10,4041.0,Stretch Film
229,2021-01-11,2384.0,Stretch Film
230,2021-01-12,2657.0,Stretch Film
231,2021-01-13,3140.0,Stretch Film
232,2021-01-14,3088.0,Stretch Film
233,2021-01-15,2921.0,Stretch Film
234,2021-01-16,2921.0,Stretch Film
235,2021-01-17,3272.0,Stretch Film
236,2021-01-18,2423.0,Stretch Film
237,2021-01-19,2423.0,Stretch Film
238,2021-01-20,2423.0,Stretch Film
239,2021-01-21,2728.0,Stretch Film
240,2021-01-22,2728.0,Stretch Film
241,2021-01-23,3704.0,Stretch Film
242,2021-01-24,3704.0,Stretch Film
243,2021-01-25,3704.0,Stretch Film
244,2021-01-26,2612.0,Stretch Film
245,2021-01-27,3796.0,Stretch Film
246,2021-01-28,3796.0,Stretch Film
247,2021-01-29,3796.0,Stretch Film
248,2021-01-30,3636.0,Stretch Film
249,2021-01-31,4426.0,Stretch Film
250,2021-02-01,4426.0,Stretch Film
251,2021-02-02,3842.0,Stretch Film
252,2021-02-03,3842.0,Stretch Film
253,2021-02-04,3162.0,Stretch Film
254,2021-02-05,3162.0,Stretch Film
255,2021-02-06,2454.0,Stretch Film
256,2021-02-07,2314.0,Stretch Film
257,2021-02-08,2314.0,Stretch Film
258,2021-02-09,1919.0,Stretch Film
259,2021-02-10,2216.0,Stretch Film
260,2021-02-11,2526.0,Stretch Film
261,2021-02-12,2593.0,Stretch Film
262,2021-02-13,2593.0,Stretch Film
263,2021-02-14,2593.0,Stretch Film
264,2021-02-15,2305.0,Stretch Film
265,2021-02-16,2305.0,Stretch Film
266,2021-02-17,2305.0,Stretch Film
267,2021-02-18,2477.0,Stretch Film
268,2021-02-19,2477.0,Stretch Film
269,2021-02-20,2703.0,Stretch Film
270,2021-02-21,2266.0,Stretch Film
271,2021-02-22,2266.0,Stretch Film
272,2021-02-23,2266.0,Stretch Film
273,2021-02-24,2629.0,Stretch Film
274,2021-02-25,2286.0,Stretch Film
275,2021-02-26,2286.0,Stretch Film
276,2021-02-27,2612.0,Stretch Film
277,2021-02-28,2612.0,Stretch Film
278,2021-03-01,2169.0,Stretch Film
279,2021-03-02,2093.0,Stretch Film
280,2021-03-03,2093.0,Stretch Film
281,2021-03-04,2057.0,Stretch Film
282,2021-03-05,2057.0,Stretch Film
283,2021-03-06,2057.0,Stretch Film
284,2021-03-07,2057.0,Stretch Film
285,2021-03-08,1614.0,Stretch Film
286,2021-03-09,1581.0,Stretch Film
287,2021-03-10,1581.0,Stretch Film
288,2021-03-11,1581.0,Stretch Film
289,2021-03-12,1949.0,Stretch Film
290,2021-03-13,1949.0,Stretch Film
291,2021-03-14,1949.0,Stretch Film
292,2021-03-15,1687.0,Stretch Film
293,2021-03-16,1687.0,Stretch Film
294,2021-03-17,1838.0,Stretch Film
295,2021-03-18,1838.0,Stretch Film
296,2021-03-19,2014.0,Stretch Film
297,2021-03-20,1716.0,Stretch Film
298,2021-03-21,1716.0,Stretch Film
299,2021-03-22,1645.0,Stretch Film
300,2021-03-23,1766.0,Stretch Film
301,2021-03-24,1735.0,Stretch Film
302,2021-03-25,1581.0,Stretch Film
303,2021-03-26,1581.0,Stretch Film
304,2021-03-27,1581.0,Stretch Film
305,2021-03-28,1496.0,Stretch Film
306,2021-03-29,1496.0,Stretch Film
307,2021-03-30,1496.0,Stretch Film
308,2021-03-31,2015.0,Stretch Film
309,2021-04-01,2050.0,Stretch Film
310,2021-04-02,1909.0,Stretch Film
311,2021-04-03,1909.0,Stretch Film
312,2021-04-04,1909.0,Stretch Film
313,2021-04-05,1184.0,Stretch Film
314,2021-04-06,1442.0,Stretch Film
315,2021-04-07,1423.0,Stretch Film
316,2021-04-08,1394.0,Stretch Film
317,2021-04-09,1394.0,Stretch Film
318,2021-04-10,1723.0,Stretch Film
319,2021-04-11,1306.0,Stretch Film
320,2021-04-12,1473.0,Stretch Film
321,2021-04-13,1473.0,Stretch Film
322,2021-04-14,1686.0,Stretch Film
323,2021-04-15,1686.0,Stretch Film
324,2021-04-16,1686.0,Stretch Film
325,2021-04-17,1746.0,Stretch Film
326,2021-04-18,1746.0,Stretch Film
327,2021-04-19,1408.0,Stretch Film
328,2021-04-20,1899.0,Stretch Film
329,2021-04-21,1899.0,Stretch Film
330,2021-04-22,1899.0,Stretch Film
331,2021-04-23,1571.0,Stretch Film
332,2021-04-24,1511.0,Stretch Film
333,2021-04-25,1511.0,Stretch Film
334,2021-04-26,1209.0,Stretch Film
335,2021-04-27,1244.0,Stretch Film
336,2021-04-28,1244.0,Stretch Film
337,2021-04-29,1244.0,Stretch Film
338,2021-04-30,1469.0,Stretch Film
339,2021-05-01,1469.0,Stretch Film
340,2021-05-02,1542.0,Stretch Film
341,2021-05-03,1542.0,Stretch Film
342,2021-05-04,1869.0,Stretch Film
343,2021-05-05,1869.0,Stretch Film
344,2021-05-06,1403.0,Stretch Film
345,2021-05-07,1564.0,Stretch Film
346,2021-05-08,1564.0,Stretch Film
347,2021-05-09,1564.0,Stretch Film
348,2021-05-10,1329.0,Stretch Film
349,2021-05-11,1329.0,Stretch Film
350,2021-05-12,1725.0,Stretch Film
351,2021-05-13,1725.0,Stretch Film
352,2021-05-14,1835.0,Stretch Film
353,2021-05-15,1835.0,Stretch Film
354,2021-05-16,1835.0,Stretch Film
355,2021-05-17,1430.0,Stretch Film
356,2021-05-18,1430.0,Stretch Film
357,2021-05-19,1777.0,Stretch Film
358,2021-05-20,1704.0,Stretch Film
359,2021-05-21,1704.0,Stretch Film
360,2021-05-22,1140.0,Stretch Film
361,2021-05-23,1141.0,Stretch Film
362,2021-05-24,1166.0,Stretch Film
363,2021-05-25,1166.0,Stretch Film
364,2021-05-26,1166.0,Stretch Film
365,2021-05-27,1600.0,Stretch Film
366,2021-05-28,1435.0,Stretch Film
367,2021-05-29,1433.0,Stretch Film
368,2021-05-30,1433.0,Stretch Film
369,2021-05-31,924.0,Stretch Film
370,2021-06-01,1554.0,Stretch Film
371,2021-06-02,1554.0,Stretch Film
372,2021-06-03,1554.0,Stretch Film
373,2021-06-04,1936.0,Stretch Film
374,2021-06-05,1936.0,Stretch Film
375,2021-06-06,1936.0,Stretch Film
376,2021-06-07,1320.0,Stretch Film
377,2021-06-08,1458.0,Stretch Film
378,2021-06-09,1458.0,Stretch Film
379,2021-06-10,1458.0,Stretch Film
380,2021-06-11,1606.0,Stretch Film
381,2021-06-12,1606.0,Stretch Film
382,2021-06-13,1606.0,Stretch Film
383,2021-06-14,941.0,Stretch Film
384,2021-06-15,1743.0,Stretch Film
385,2021-06-16,1743.0,Stretch Film
386,2021-06-17,1743.0,Stretch Film
387,2021-06-18,1747.0,Stretch Film
388,2021-06-19,1747.0,Stretch Film
389,2021-06-20,1435.0,Stretch Film
390,2021-06-21,1435.0,Stretch Film
391,2021-06-22,2506.0,Stretch Film
392,2021-06-23,2377.0,Stretch Film
393,2021-06-24,1633.0,Stretch Film
394,2021-06-25,1633.0,Stretch Film
395,2021-06-26,1633.0,Stretch Film
396,2021-06-27,1299.0,Stretch Film
397,2021-06-28,1299.0,Stretch Film
398,2021-06-29,1672.0,Stretch Film
399,2021-06-30,1497.0,Stretch Film
400,2021-07-01,1808.0,Stretch Film
401,2021-07-02,1808.0,Stretch Film
402,2021-07-03,1712.0,Stretch Film
403,2021-07-04,1712.0,Stretch Film
404,2021-07-05,1712.0,Stretch Film
405,2021-07-06,875.0,Stretch Film
406,2021-07-07,875.0,Stretch Film
407,2021-07-08,1484.0,Stretch Film
408,2021-07-09,1395.0,Stretch Film
409,2021-07-10,1164.0,Stretch Film
