,date,value,name_B07M63DP2V
419,2020-05-31,57298.0,Kids' Bath Towels
420,2020-06-01,62302.0,Kids' Bath Towels
421,2020-06-02,62302.0,Kids' Bath Towels
422,2020-06-03,62302.0,Kids' Bath Towels
423,2020-06-04,71257.0,Kids' Bath Towels
424,2020-06-05,71257.0,Kids' Bath Towels
425,2020-06-06,71257.0,Kids' Bath Towels
426,2020-06-07,71257.0,Kids' Bath Towels
427,2020-06-08,50415.0,Kids' Bath Towels
428,2020-06-09,50415.0,Kids' Bath Towels
429,2020-06-10,50415.0,Kids' Bath Towels
430,2020-06-11,50415.0,Kids' Bath Towels
431,2020-06-12,50415.0,Kids' Bath Towels
432,2020-06-13,50415.0,Kids' Bath Towels
433,2020-06-14,50415.0,Kids' Bath Towels
434,2020-06-15,34606.0,Kids' Bath Towels
435,2020-06-16,34606.0,Kids' Bath Towels
436,2020-06-17,42877.0,Kids' Bath Towels
437,2020-06-18,42877.0,Kids' Bath Towels
438,2020-06-19,42877.0,Kids' Bath Towels
439,2020-06-20,26268.0,Kids' Bath Towels
440,2020-06-21,26268.0,Kids' Bath Towels
441,2020-06-22,22203.0,Kids' Bath Towels
442,2020-06-23,22203.0,Kids' Bath Towels
443,2020-06-24,22203.0,Kids' Bath Towels
444,2020-06-25,22203.0,Kids' Bath Towels
445,2020-06-26,40486.0,Kids' Bath Towels
446,2020-06-27,48189.0,Kids' Bath Towels
447,2020-06-28,48189.0,Kids' Bath Towels
448,2020-06-29,48189.0,Kids' Bath Towels
449,2020-06-30,87444.0,Kids' Bath Towels
450,2020-07-01,87444.0,Kids' Bath Towels
451,2020-07-02,87444.0,Kids' Bath Towels
452,2020-07-03,87444.0,Kids' Bath Towels
453,2020-07-04,164085.0,Kids' Bath Towels
454,2020-07-05,164085.0,Kids' Bath Towels
455,2020-07-06,164085.0,Kids' Bath Towels
456,2020-07-07,50790.0,Kids' Bath Towels
457,2020-07-08,50790.0,Kids' Bath Towels
458,2020-07-09,50790.0,Kids' Bath Towels
459,2020-07-10,50790.0,Kids' Bath Towels
460,2020-07-11,50790.0,Kids' Bath Towels
461,2020-07-12,50790.0,Kids' Bath Towels
462,2020-07-13,50790.0,Kids' Bath Towels
463,2020-07-14,50790.0,Kids' Bath Towels
464,2020-07-15,50790.0,Kids' Bath Towels
465,2020-07-16,48489.0,Kids' Bath Towels
466,2020-07-17,48489.0,Kids' Bath Towels
467,2020-07-18,48489.0,Kids' Bath Towels
468,2020-07-19,48489.0,Kids' Bath Towels
469,2020-07-20,48489.0,Kids' Bath Towels
470,2020-07-21,48489.0,Kids' Bath Towels
471,2020-07-22,48489.0,Kids' Bath Towels
472,2020-07-23,48489.0,Kids' Bath Towels
473,2020-07-24,60664.0,Kids' Bath Towels
474,2020-07-25,69645.0,Kids' Bath Towels
475,2020-07-26,95939.0,Kids' Bath Towels
476,2020-07-27,95939.0,Kids' Bath Towels
477,2020-07-28,95939.0,Kids' Bath Towels
478,2020-07-29,63965.0,Kids' Bath Towels
479,2020-07-30,63965.0,Kids' Bath Towels
480,2020-07-31,63965.0,Kids' Bath Towels
481,2020-08-01,63965.0,Kids' Bath Towels
482,2020-08-02,63965.0,Kids' Bath Towels
483,2020-08-03,81824.0,Kids' Bath Towels
484,2020-08-04,81824.0,Kids' Bath Towels
485,2020-08-05,75200.0,Kids' Bath Towels
