,date,value,name_B08TBJBR85
114,2021-05-20,696461.0,Posters & Prints
115,2021-05-21,696461.0,Posters & Prints
116,2021-05-22,696461.0,Posters & Prints
117,2021-05-23,696461.0,Posters & Prints
118,2021-05-24,696461.0,Posters & Prints
119,2021-05-25,696461.0,Posters & Prints
120,2021-05-26,752799.0,Posters & Prints
121,2021-05-27,752799.0,Posters & Prints
122,2021-05-28,752799.0,Posters & Prints
123,2021-05-29,752799.0,Posters & Prints
124,2021-05-30,752799.0,Posters & Prints
125,2021-05-31,149175.0,Posters & Prints
126,2021-06-01,149175.0,Posters & Prints
127,2021-06-02,149175.0,Posters & Prints
128,2021-06-03,172349.0,Posters & Prints
129,2021-06-04,172349.0,Posters & Prints
130,2021-06-05,172349.0,Posters & Prints
131,2021-06-06,172349.0,Posters & Prints
132,2021-06-07,172349.0,Posters & Prints
133,2021-06-08,86344.0,Posters & Prints
134,2021-06-09,86344.0,Posters & Prints
135,2021-06-10,43848.0,Posters & Prints
136,2021-06-11,43848.0,Posters & Prints
137,2021-06-12,43848.0,Posters & Prints
138,2021-06-13,43848.0,Posters & Prints
139,2021-06-14,43848.0,Posters & Prints
140,2021-06-15,73555.0,Posters & Prints
141,2021-06-16,73555.0,Posters & Prints
142,2021-06-17,73555.0,Posters & Prints
143,2021-06-18,54929.0,Posters & Prints
144,2021-06-19,54929.0,Posters & Prints
145,2021-06-20,54929.0,Posters & Prints
146,2021-06-21,54929.0,Posters & Prints
147,2021-06-22,54929.0,Posters & Prints
148,2021-06-23,54929.0,Posters & Prints
149,2021-06-24,54929.0,Posters & Prints
150,2021-06-25,25835.0,Posters & Prints
151,2021-06-26,25835.0,Posters & Prints
152,2021-06-27,25835.0,Posters & Prints
153,2021-06-28,25835.0,Posters & Prints
154,2021-06-29,25835.0,Posters & Prints
155,2021-06-30,21186.0,Posters & Prints
156,2021-07-01,19391.0,Posters & Prints
157,2021-07-02,19391.0,Posters & Prints
158,2021-07-03,11864.0,Posters & Prints
159,2021-07-04,10086.0,Posters & Prints
160,2021-07-05,10086.0,Posters & Prints
161,2021-07-06,10086.0,Posters & Prints
162,2021-07-07,14452.0,Posters & Prints
163,2021-07-08,14452.0,Posters & Prints
164,2021-07-09,32455.0,Posters & Prints
165,2021-07-10,43774.0,Posters & Prints
166,2021-07-11,37454.0,Posters & Prints
