,date,value,name_B08F2B3CX3
190,2021-03-20,38552.0,Comforter Sets
191,2021-03-21,38552.0,Comforter Sets
192,2021-03-22,38552.0,Comforter Sets
193,2021-03-23,38552.0,Comforter Sets
194,2021-03-24,38552.0,Comforter Sets
195,2021-03-25,38552.0,Comforter Sets
196,2021-03-26,38552.0,Comforter Sets
197,2021-03-27,38552.0,Comforter Sets
198,2021-03-28,38552.0,Comforter Sets
199,2021-03-29,58866.0,Comforter Sets
200,2021-03-30,58866.0,Comforter Sets
201,2021-03-31,58866.0,Comforter Sets
202,2021-04-01,58866.0,Comforter Sets
203,2021-04-02,48446.0,Comforter Sets
204,2021-04-03,48446.0,Comforter Sets
205,2021-04-04,48446.0,Comforter Sets
206,2021-04-05,48446.0,Comforter Sets
207,2021-04-06,60609.0,Comforter Sets
208,2021-04-07,60609.0,Comforter Sets
209,2021-04-08,60609.0,Comforter Sets
210,2021-04-09,60609.0,Comforter Sets
211,2021-04-10,28812.0,Comforter Sets
212,2021-04-11,28812.0,Comforter Sets
213,2021-04-12,36674.0,Comforter Sets
214,2021-04-13,36674.0,Comforter Sets
215,2021-04-14,36674.0,Comforter Sets
216,2021-04-15,36674.0,Comforter Sets
217,2021-04-16,26125.0,Comforter Sets
218,2021-04-17,26125.0,Comforter Sets
219,2021-04-18,26125.0,Comforter Sets
220,2021-04-19,26125.0,Comforter Sets
221,2021-04-20,26125.0,Comforter Sets
222,2021-04-21,22555.0,Comforter Sets
223,2021-04-22,22555.0,Comforter Sets
224,2021-04-23,22555.0,Comforter Sets
225,2021-04-24,22555.0,Comforter Sets
226,2021-04-25,20300.0,Comforter Sets
227,2021-04-26,25500.0,Comforter Sets
228,2021-04-27,25500.0,Comforter Sets
229,2021-04-28,25084.0,Comforter Sets
230,2021-04-29,25084.0,Comforter Sets
231,2021-04-30,21805.0,Comforter Sets
232,2021-05-01,22274.0,Comforter Sets
233,2021-05-02,22274.0,Comforter Sets
234,2021-05-03,22274.0,Comforter Sets
235,2021-05-04,22677.0,Comforter Sets
236,2021-05-05,22677.0,Comforter Sets
237,2021-05-06,22677.0,Comforter Sets
238,2021-05-07,32782.0,Comforter Sets
239,2021-05-08,32782.0,Comforter Sets
240,2021-05-09,32782.0,Comforter Sets
241,2021-05-10,25412.0,Comforter Sets
242,2021-05-11,25412.0,Comforter Sets
243,2021-05-12,25412.0,Comforter Sets
244,2021-05-13,28067.0,Comforter Sets
245,2021-05-14,28067.0,Comforter Sets
246,2021-05-15,30849.0,Comforter Sets
247,2021-05-16,32090.0,Comforter Sets
248,2021-05-17,32090.0,Comforter Sets
249,2021-05-18,32090.0,Comforter Sets
250,2021-05-19,32090.0,Comforter Sets
251,2021-05-20,45756.0,Comforter Sets
252,2021-05-21,45756.0,Comforter Sets
253,2021-05-22,45756.0,Comforter Sets
254,2021-05-23,46907.0,Comforter Sets
255,2021-05-24,50895.0,Comforter Sets
256,2021-05-25,52835.0,Comforter Sets
257,2021-05-26,52835.0,Comforter Sets
258,2021-05-27,52835.0,Comforter Sets
259,2021-05-28,52835.0,Comforter Sets
260,2021-05-29,20426.0,Comforter Sets
261,2021-05-30,20426.0,Comforter Sets
262,2021-05-31,20426.0,Comforter Sets
263,2021-06-01,32591.0,Comforter Sets
264,2021-06-02,32591.0,Comforter Sets
265,2021-06-03,29747.0,Comforter Sets
266,2021-06-04,29747.0,Comforter Sets
267,2021-06-05,16461.0,Comforter Sets
268,2021-06-06,16461.0,Comforter Sets
269,2021-06-07,16461.0,Comforter Sets
270,2021-06-08,20779.0,Comforter Sets
271,2021-06-09,20779.0,Comforter Sets
272,2021-06-10,20779.0,Comforter Sets
273,2021-06-11,20779.0,Comforter Sets
274,2021-06-12,20779.0,Comforter Sets
275,2021-06-13,21206.0,Comforter Sets
276,2021-06-14,21206.0,Comforter Sets
277,2021-06-15,22705.0,Comforter Sets
278,2021-06-16,22705.0,Comforter Sets
279,2021-06-17,15384.0,Comforter Sets
280,2021-06-18,15384.0,Comforter Sets
281,2021-06-19,15384.0,Comforter Sets
282,2021-06-20,15384.0,Comforter Sets
283,2021-06-21,16374.0,Comforter Sets
284,2021-06-22,16374.0,Comforter Sets
285,2021-06-23,16374.0,Comforter Sets
286,2021-06-24,11918.0,Comforter Sets
287,2021-06-25,11918.0,Comforter Sets
288,2021-06-26,11918.0,Comforter Sets
289,2021-06-27,11918.0,Comforter Sets
290,2021-06-28,11918.0,Comforter Sets
291,2021-06-29,20632.0,Comforter Sets
292,2021-06-30,20632.0,Comforter Sets
293,2021-07-01,17488.0,Comforter Sets
294,2021-07-02,17488.0,Comforter Sets
295,2021-07-03,17488.0,Comforter Sets
296,2021-07-04,22287.0,Comforter Sets
297,2021-07-05,25632.0,Comforter Sets
298,2021-07-06,26170.0,Comforter Sets
299,2021-07-07,24023.0,Comforter Sets
300,2021-07-08,24023.0,Comforter Sets
301,2021-07-09,28196.0,Comforter Sets
302,2021-07-10,28196.0,Comforter Sets
303,2021-07-11,37111.0,Comforter Sets
