,date,value,name_B01CV48YNM
272,2019-04-09,148.0,Container Sets
273,2019-04-10,181.0,Container Sets
274,2019-04-11,175.0,Container Sets
275,2019-04-12,163.0,Container Sets
276,2019-04-13,202.0,Container Sets
277,2019-04-14,204.0,Container Sets
278,2019-04-15,246.0,Container Sets
279,2019-04-16,251.0,Container Sets
280,2019-04-17,241.0,Container Sets
281,2019-04-18,241.0,Container Sets
282,2019-04-19,204.0,Container Sets
283,2019-04-20,214.0,Container Sets
284,2019-04-21,299.0,Container Sets
285,2019-04-22,299.0,Container Sets
286,2019-04-23,265.0,Container Sets
287,2019-04-24,244.0,Container Sets
288,2019-04-25,291.0,Container Sets
289,2019-04-26,301.0,Container Sets
290,2019-04-27,263.0,Container Sets
291,2019-04-28,268.0,Container Sets
292,2019-04-29,230.0,Container Sets
293,2019-04-30,230.0,Container Sets
294,2019-05-01,202.0,Container Sets
295,2019-05-02,213.0,Container Sets
296,2019-05-03,195.0,Container Sets
297,2019-05-04,207.0,Container Sets
298,2019-05-05,258.0,Container Sets
299,2019-05-06,299.0,Container Sets
300,2019-05-07,281.0,Container Sets
301,2019-05-08,265.0,Container Sets
302,2019-05-09,313.0,Container Sets
303,2019-05-10,305.0,Container Sets
304,2019-05-11,271.0,Container Sets
305,2019-05-12,475.0,Container Sets
306,2019-05-13,938.0,Container Sets
307,2019-05-14,963.0,Container Sets
308,2019-05-15,778.0,Container Sets
309,2019-05-16,471.0,Container Sets
310,2019-05-17,309.0,Container Sets
311,2019-05-18,298.0,Container Sets
312,2019-05-19,318.0,Container Sets
313,2019-05-20,461.0,Container Sets
314,2019-05-21,460.0,Container Sets
315,2019-05-22,514.0,Container Sets
316,2019-05-23,535.0,Container Sets
317,2019-05-24,489.0,Container Sets
318,2019-05-25,406.0,Container Sets
319,2019-05-26,437.0,Container Sets
320,2019-05-27,450.0,Container Sets
321,2019-05-28,375.0,Container Sets
322,2019-05-29,375.0,Container Sets
323,2019-05-30,324.0,Container Sets
324,2019-05-31,222.0,Container Sets
325,2019-06-01,251.0,Container Sets
326,2019-06-02,283.0,Container Sets
327,2019-06-03,348.0,Container Sets
328,2019-06-04,295.0,Container Sets
329,2019-06-05,340.0,Container Sets
330,2019-06-06,319.0,Container Sets
331,2019-06-07,309.0,Container Sets
332,2019-06-08,303.0,Container Sets
333,2019-06-09,341.0,Container Sets
334,2019-06-10,305.0,Container Sets
335,2019-06-11,345.0,Container Sets
336,2019-06-12,366.0,Container Sets
337,2019-06-13,371.0,Container Sets
338,2019-06-14,457.0,Container Sets
339,2019-06-15,457.0,Container Sets
340,2019-06-16,483.0,Container Sets
341,2019-06-17,436.0,Container Sets
342,2019-06-18,335.0,Container Sets
343,2019-06-19,339.0,Container Sets
344,2019-06-20,359.0,Container Sets
345,2019-06-21,371.0,Container Sets
346,2019-06-22,351.0,Container Sets
347,2019-06-23,411.0,Container Sets
348,2019-06-24,442.0,Container Sets
349,2019-06-25,466.0,Container Sets
350,2019-06-26,419.0,Container Sets
351,2019-06-27,419.0,Container Sets
352,2019-06-28,437.0,Container Sets
353,2019-06-29,350.0,Container Sets
354,2019-06-30,350.0,Container Sets
355,2019-07-01,517.0,Container Sets
356,2019-07-02,517.0,Container Sets
357,2019-07-03,517.0,Container Sets
358,2019-07-04,493.0,Container Sets
359,2019-07-05,601.0,Container Sets
360,2019-07-06,470.0,Container Sets
361,2019-07-07,470.0,Container Sets
362,2019-07-08,460.0,Container Sets
363,2019-07-09,451.0,Container Sets
364,2019-07-10,532.0,Container Sets
365,2019-07-11,532.0,Container Sets
366,2019-07-12,586.0,Container Sets
367,2019-07-13,586.0,Container Sets
368,2019-07-14,427.0,Container Sets
369,2019-07-15,427.0,Container Sets
370,2019-07-16,1185.0,Container Sets
371,2019-07-17,1185.0,Container Sets
372,2019-07-18,811.0,Container Sets
373,2019-07-19,744.0,Container Sets
374,2019-07-20,562.0,Container Sets
375,2019-07-21,562.0,Container Sets
376,2019-07-22,558.0,Container Sets
377,2019-07-23,395.0,Container Sets
378,2019-07-24,412.0,Container Sets
379,2019-07-25,470.0,Container Sets
380,2019-07-26,460.0,Container Sets
381,2019-07-27,414.0,Container Sets
382,2019-07-28,415.0,Container Sets
383,2019-07-29,735.0,Container Sets
384,2019-07-30,1293.0,Container Sets
385,2019-07-31,1320.0,Container Sets
386,2019-08-01,1433.0,Container Sets
387,2019-08-02,1433.0,Container Sets
388,2019-08-03,1825.0,Container Sets
389,2019-08-04,1579.0,Container Sets
390,2019-08-05,1533.0,Container Sets
391,2019-08-06,1002.0,Container Sets
392,2019-08-07,1042.0,Container Sets
393,2019-08-08,903.0,Container Sets
394,2019-08-09,838.0,Container Sets
395,2019-08-10,838.0,Container Sets
396,2019-08-11,901.0,Container Sets
397,2019-08-12,901.0,Container Sets
398,2019-08-13,827.0,Container Sets
399,2019-08-14,827.0,Container Sets
400,2019-08-15,699.0,Container Sets
401,2019-08-16,761.0,Container Sets
402,2019-08-17,756.0,Container Sets
403,2019-08-18,858.0,Container Sets
404,2019-08-19,711.0,Container Sets
405,2019-08-20,711.0,Container Sets
406,2019-08-21,786.0,Container Sets
407,2019-08-22,881.0,Container Sets
408,2019-08-23,911.0,Container Sets
409,2019-08-24,782.0,Container Sets
410,2019-08-25,877.0,Container Sets
411,2019-08-26,890.0,Container Sets
412,2019-08-27,890.0,Container Sets
413,2019-08-28,890.0,Container Sets
414,2019-08-29,912.0,Container Sets
415,2019-08-30,761.0,Container Sets
416,2019-08-31,730.0,Container Sets
417,2019-09-01,730.0,Container Sets
418,2019-09-02,819.0,Container Sets
419,2019-09-03,819.0,Container Sets
420,2019-09-04,724.0,Container Sets
421,2019-09-05,746.0,Container Sets
422,2019-09-06,746.0,Container Sets
423,2019-09-07,612.0,Container Sets
424,2019-09-08,670.0,Container Sets
425,2019-09-09,692.0,Container Sets
426,2019-09-10,646.0,Container Sets
427,2019-09-11,632.0,Container Sets
428,2019-09-12,591.0,Container Sets
429,2019-09-13,601.0,Container Sets
430,2019-09-14,634.0,Container Sets
431,2019-09-15,687.0,Container Sets
432,2019-09-16,724.0,Container Sets
433,2019-09-17,661.0,Container Sets
434,2019-09-18,686.0,Container Sets
435,2019-09-19,1012.0,Container Sets
436,2019-09-20,1298.0,Container Sets
437,2019-09-21,1298.0,Container Sets
438,2019-09-22,1854.0,Container Sets
439,2019-09-23,2646.0,Container Sets
440,2019-09-24,3522.0,Container Sets
441,2019-09-25,3183.0,Container Sets
442,2019-09-26,2873.0,Container Sets
443,2019-09-27,2775.0,Container Sets
444,2019-09-28,1739.0,Container Sets
445,2019-09-29,1193.0,Container Sets
446,2019-09-30,1193.0,Container Sets
447,2019-10-01,1193.0,Container Sets
448,2019-10-02,1299.0,Container Sets
449,2019-10-03,1676.0,Container Sets
450,2019-10-04,1676.0,Container Sets
451,2019-10-05,1096.0,Container Sets
452,2019-10-06,1096.0,Container Sets
453,2019-10-07,1096.0,Container Sets
454,2019-10-08,1140.0,Container Sets
455,2019-10-09,1140.0,Container Sets
456,2019-10-10,839.0,Container Sets
457,2019-10-11,917.0,Container Sets
458,2019-10-12,917.0,Container Sets
459,2019-10-13,839.0,Container Sets
460,2019-10-14,839.0,Container Sets
461,2019-10-15,858.0,Container Sets
462,2019-10-16,895.0,Container Sets
463,2019-10-17,895.0,Container Sets
464,2019-10-18,964.0,Container Sets
465,2019-10-19,915.0,Container Sets
466,2019-10-20,748.0,Container Sets
467,2019-10-21,821.0,Container Sets
468,2019-10-22,1053.0,Container Sets
469,2019-10-23,1166.0,Container Sets
470,2019-10-24,1211.0,Container Sets
471,2019-10-25,836.0,Container Sets
472,2019-10-26,821.0,Container Sets
