,date,value,name_B07Z7PC2VD
100,2020-01-26,35785.0,Step Stools
101,2020-01-27,35785.0,Step Stools
102,2020-01-28,35785.0,Step Stools
103,2020-01-29,29173.0,Step Stools
104,2020-01-30,29173.0,Step Stools
105,2020-01-31,29173.0,Step Stools
106,2020-02-01,41854.0,Step Stools
107,2020-02-02,41854.0,Step Stools
108,2020-02-03,34693.0,Step Stools
109,2020-02-04,34693.0,Step Stools
110,2020-02-05,34693.0,Step Stools
111,2020-02-06,34693.0,Step Stools
112,2020-02-07,34693.0,Step Stools
113,2020-02-08,34693.0,Step Stools
114,2020-02-09,34693.0,Step Stools
115,2020-02-10,33551.0,Step Stools
116,2020-02-11,33551.0,Step Stools
117,2020-02-12,32298.0,Step Stools
118,2020-02-13,33361.0,Step Stools
119,2020-02-14,39087.0,Step Stools
120,2020-02-15,39087.0,Step Stools
121,2020-02-16,42843.0,Step Stools
122,2020-02-17,48479.0,Step Stools
123,2020-02-18,48479.0,Step Stools
124,2020-02-19,48479.0,Step Stools
125,2020-02-20,48479.0,Step Stools
126,2020-02-21,48479.0,Step Stools
127,2020-02-22,48479.0,Step Stools
128,2020-02-23,48479.0,Step Stools
129,2020-02-24,13805.0,Step Stools
130,2020-02-25,17656.0,Step Stools
131,2020-02-26,17656.0,Step Stools
132,2020-02-27,17656.0,Step Stools
133,2020-02-28,17656.0,Step Stools
134,2020-02-29,17656.0,Step Stools
135,2020-03-01,17656.0,Step Stools
136,2020-03-02,17656.0,Step Stools
137,2020-03-03,82945.0,Step Stools
138,2020-03-04,82945.0,Step Stools
139,2020-03-05,82945.0,Step Stools
140,2020-03-06,82945.0,Step Stools
141,2020-03-07,66851.0,Step Stools
142,2020-03-08,66851.0,Step Stools
143,2020-03-09,66851.0,Step Stools
144,2020-03-10,66851.0,Step Stools
145,2020-03-11,66851.0,Step Stools
146,2020-03-12,-1.0,Step Stools
