,date,value,name_B07ZN47WHF
153,2020-04-03,17757.0,Duvet Covers & Sets
154,2020-04-04,-1.0,Duvet Covers & Sets
155,2020-04-05,-1.0,Duvet Covers & Sets
156,2020-04-06,-1.0,Duvet Covers & Sets
157,2020-04-07,-1.0,Duvet Covers & Sets
158,2020-04-08,-1.0,Duvet Covers & Sets
159,2020-04-09,-1.0,Duvet Covers & Sets
160,2020-04-10,-1.0,Duvet Covers & Sets
161,2020-04-11,-1.0,Duvet Covers & Sets
162,2020-04-12,-1.0,Duvet Covers & Sets
163,2020-04-13,-1.0,Duvet Covers & Sets
164,2020-04-14,-1.0,Duvet Covers & Sets
165,2020-04-15,-1.0,Duvet Covers & Sets
166,2020-04-16,-1.0,Duvet Covers & Sets
167,2020-04-17,-1.0,Duvet Covers & Sets
168,2020-04-18,-1.0,Duvet Covers & Sets
169,2020-04-19,-1.0,Duvet Covers & Sets
170,2020-04-20,-1.0,Duvet Covers & Sets
171,2020-04-21,-1.0,Duvet Covers & Sets
172,2020-04-22,-1.0,Duvet Covers & Sets
173,2020-04-23,-1.0,Duvet Covers & Sets
174,2020-04-24,-1.0,Duvet Covers & Sets
175,2020-04-25,17423.0,Duvet Covers & Sets
176,2020-04-26,27088.0,Duvet Covers & Sets
177,2020-04-27,30494.0,Duvet Covers & Sets
178,2020-04-28,30971.0,Duvet Covers & Sets
179,2020-04-29,24063.0,Duvet Covers & Sets
180,2020-04-30,24063.0,Duvet Covers & Sets
181,2020-05-01,24063.0,Duvet Covers & Sets
182,2020-05-02,24063.0,Duvet Covers & Sets
183,2020-05-03,13513.0,Duvet Covers & Sets
184,2020-05-04,13513.0,Duvet Covers & Sets
185,2020-05-05,12346.0,Duvet Covers & Sets
186,2020-05-06,13023.0,Duvet Covers & Sets
187,2020-05-07,11425.0,Duvet Covers & Sets
188,2020-05-08,10612.0,Duvet Covers & Sets
189,2020-05-09,8451.0,Duvet Covers & Sets
190,2020-05-10,8451.0,Duvet Covers & Sets
191,2020-05-11,9638.0,Duvet Covers & Sets
192,2020-05-12,7274.0,Duvet Covers & Sets
193,2020-05-13,8799.0,Duvet Covers & Sets
194,2020-05-14,7969.0,Duvet Covers & Sets
195,2020-05-15,7493.0,Duvet Covers & Sets
196,2020-05-16,6852.0,Duvet Covers & Sets
197,2020-05-17,10181.0,Duvet Covers & Sets
198,2020-05-18,12668.0,Duvet Covers & Sets
199,2020-05-19,8684.0,Duvet Covers & Sets
200,2020-05-20,9415.0,Duvet Covers & Sets
201,2020-05-21,8786.0,Duvet Covers & Sets
202,2020-05-22,7897.0,Duvet Covers & Sets
203,2020-05-23,7897.0,Duvet Covers & Sets
204,2020-05-24,7897.0,Duvet Covers & Sets
205,2020-05-25,9727.0,Duvet Covers & Sets
206,2020-05-26,8672.0,Duvet Covers & Sets
207,2020-05-27,8763.0,Duvet Covers & Sets
208,2020-05-28,8187.0,Duvet Covers & Sets
209,2020-05-29,6858.0,Duvet Covers & Sets
210,2020-05-30,7306.0,Duvet Covers & Sets
211,2020-05-31,7306.0,Duvet Covers & Sets
212,2020-06-01,7993.0,Duvet Covers & Sets
213,2020-06-02,8113.0,Duvet Covers & Sets
214,2020-06-03,7129.0,Duvet Covers & Sets
215,2020-06-04,7439.0,Duvet Covers & Sets
216,2020-06-05,8402.0,Duvet Covers & Sets
217,2020-06-06,8347.0,Duvet Covers & Sets
218,2020-06-07,8952.0,Duvet Covers & Sets
219,2020-06-08,8952.0,Duvet Covers & Sets
220,2020-06-09,9319.0,Duvet Covers & Sets
221,2020-06-10,7199.0,Duvet Covers & Sets
222,2020-06-11,7859.0,Duvet Covers & Sets
223,2020-06-12,7859.0,Duvet Covers & Sets
224,2020-06-13,7999.0,Duvet Covers & Sets
225,2020-06-14,9146.0,Duvet Covers & Sets
226,2020-06-15,8036.0,Duvet Covers & Sets
227,2020-06-16,6986.0,Duvet Covers & Sets
228,2020-06-17,7334.0,Duvet Covers & Sets
229,2020-06-18,8318.0,Duvet Covers & Sets
230,2020-06-19,9583.0,Duvet Covers & Sets
231,2020-06-20,9583.0,Duvet Covers & Sets
232,2020-06-21,9583.0,Duvet Covers & Sets
233,2020-06-22,11255.0,Duvet Covers & Sets
234,2020-06-23,10403.0,Duvet Covers & Sets
235,2020-06-24,10403.0,Duvet Covers & Sets
236,2020-06-25,10403.0,Duvet Covers & Sets
237,2020-06-26,8239.0,Duvet Covers & Sets
238,2020-06-27,8239.0,Duvet Covers & Sets
239,2020-06-28,9889.0,Duvet Covers & Sets
240,2020-06-29,9354.0,Duvet Covers & Sets
241,2020-06-30,9354.0,Duvet Covers & Sets
