,date,value,name_B08P1PDS6D
63,2021-01-30,2850.0,Albums
64,2021-01-31,9308.0,Albums
65,2021-02-01,9308.0,Albums
66,2021-02-02,6338.0,Albums
67,2021-02-03,6338.0,Albums
68,2021-02-04,6338.0,Albums
69,2021-02-05,9107.0,Albums
70,2021-02-06,9107.0,Albums
71,2021-02-07,9107.0,Albums
72,2021-02-08,9107.0,Albums
73,2021-02-09,8071.0,Albums
74,2021-02-10,8071.0,Albums
75,2021-02-11,8071.0,Albums
76,2021-02-12,8071.0,Albums
77,2021-02-13,20857.0,Albums
78,2021-02-14,20857.0,Albums
79,2021-02-15,20857.0,Albums
80,2021-02-16,18694.0,Albums
81,2021-02-17,18694.0,Albums
82,2021-02-18,18694.0,Albums
83,2021-02-19,18694.0,Albums
84,2021-02-20,15374.0,Albums
85,2021-02-21,15374.0,Albums
86,2021-02-22,15374.0,Albums
87,2021-02-23,15374.0,Albums
88,2021-02-24,21919.0,Albums
89,2021-02-25,21919.0,Albums
90,2021-02-26,21919.0,Albums
91,2021-02-27,19162.0,Albums
92,2021-02-28,9188.0,Albums
93,2021-03-01,9188.0,Albums
94,2021-03-02,9188.0,Albums
95,2021-03-03,6185.0,Albums
96,2021-03-04,6185.0,Albums
97,2021-03-05,7425.0,Albums
98,2021-03-06,7425.0,Albums
99,2021-03-07,7425.0,Albums
100,2021-03-08,4408.0,Albums
101,2021-03-09,5918.0,Albums
102,2021-03-10,5925.0,Albums
103,2021-03-11,5925.0,Albums
104,2021-03-12,5925.0,Albums
105,2021-03-13,5925.0,Albums
106,2021-03-14,5925.0,Albums
107,2021-03-15,5925.0,Albums
108,2021-03-16,16411.0,Albums
109,2021-03-17,16411.0,Albums
110,2021-03-18,16411.0,Albums
111,2021-03-19,16411.0,Albums
112,2021-03-20,16411.0,Albums
113,2021-03-21,16411.0,Albums
114,2021-03-22,36294.0,Albums
115,2021-03-23,36294.0,Albums
116,2021-03-24,36294.0,Albums
117,2021-03-25,34207.0,Albums
118,2021-03-26,34207.0,Albums
119,2021-03-27,34207.0,Albums
120,2021-03-28,34207.0,Albums
121,2021-03-29,34207.0,Albums
122,2021-03-30,34207.0,Albums
123,2021-03-31,34207.0,Albums
124,2021-04-01,95958.0,Albums
125,2021-04-02,95958.0,Albums
126,2021-04-03,95958.0,Albums
127,2021-04-04,19259.0,Albums
128,2021-04-05,19259.0,Albums
129,2021-04-06,19259.0,Albums
130,2021-04-07,14176.0,Albums
131,2021-04-08,14176.0,Albums
132,2021-04-09,17066.0,Albums
133,2021-04-10,17066.0,Albums
134,2021-04-11,17066.0,Albums
135,2021-04-12,28819.0,Albums
136,2021-04-13,28819.0,Albums
137,2021-04-14,28819.0,Albums
138,2021-04-15,25369.0,Albums
139,2021-04-16,25369.0,Albums
140,2021-04-17,25369.0,Albums
141,2021-04-18,25369.0,Albums
142,2021-04-19,25369.0,Albums
143,2021-04-20,45820.0,Albums
144,2021-04-21,51862.0,Albums
145,2021-04-22,51862.0,Albums
146,2021-04-23,51862.0,Albums
147,2021-04-24,51862.0,Albums
148,2021-04-25,45991.0,Albums
149,2021-04-26,45991.0,Albums
150,2021-04-27,45991.0,Albums
151,2021-04-28,45991.0,Albums
152,2021-04-29,45991.0,Albums
153,2021-04-30,88261.0,Albums
154,2021-05-01,88261.0,Albums
155,2021-05-02,88261.0,Albums
156,2021-05-03,29677.0,Albums
157,2021-05-04,29677.0,Albums
158,2021-05-05,17275.0,Albums
159,2021-05-06,18150.0,Albums
160,2021-05-07,18150.0,Albums
161,2021-05-08,14571.0,Albums
162,2021-05-09,14571.0,Albums
163,2021-05-10,8542.0,Albums
164,2021-05-11,11661.0,Albums
165,2021-05-12,11661.0,Albums
166,2021-05-13,12135.0,Albums
167,2021-05-14,12135.0,Albums
168,2021-05-15,17196.0,Albums
169,2021-05-16,17196.0,Albums
170,2021-05-17,20252.0,Albums
171,2021-05-18,20252.0,Albums
172,2021-05-19,12863.0,Albums
173,2021-05-20,11695.0,Albums
174,2021-05-21,11695.0,Albums
175,2021-05-22,10865.0,Albums
176,2021-05-23,10077.0,Albums
177,2021-05-24,10077.0,Albums
178,2021-05-25,10077.0,Albums
179,2021-05-26,10259.0,Albums
180,2021-05-27,10259.0,Albums
181,2021-05-28,10259.0,Albums
182,2021-05-29,10259.0,Albums
183,2021-05-30,7882.0,Albums
184,2021-05-31,7882.0,Albums
185,2021-06-01,7882.0,Albums
186,2021-06-02,6770.0,Albums
187,2021-06-03,7727.0,Albums
188,2021-06-04,7727.0,Albums
189,2021-06-05,7727.0,Albums
190,2021-06-06,9640.0,Albums
191,2021-06-07,9640.0,Albums
192,2021-06-08,9640.0,Albums
193,2021-06-09,9640.0,Albums
194,2021-06-10,7877.0,Albums
195,2021-06-11,7877.0,Albums
196,2021-06-12,7877.0,Albums
197,2021-06-13,7877.0,Albums
198,2021-06-14,7877.0,Albums
199,2021-06-15,7877.0,Albums
200,2021-06-16,11725.0,Albums
201,2021-06-17,10621.0,Albums
202,2021-06-18,10621.0,Albums
203,2021-06-19,10621.0,Albums
204,2021-06-20,10621.0,Albums
205,2021-06-21,7659.0,Albums
206,2021-06-22,12878.0,Albums
207,2021-06-23,12878.0,Albums
208,2021-06-24,13704.0,Albums
209,2021-06-25,8306.0,Albums
210,2021-06-26,4667.0,Albums
211,2021-06-27,4667.0,Albums
212,2021-06-28,7087.0,Albums
213,2021-06-29,7991.0,Albums
214,2021-06-30,9381.0,Albums
215,2021-07-01,8330.0,Albums
216,2021-07-02,9825.0,Albums
217,2021-07-03,8438.0,Albums
218,2021-07-04,8438.0,Albums
219,2021-07-05,4751.0,Albums
220,2021-07-06,4751.0,Albums
221,2021-07-07,4751.0,Albums
222,2021-07-08,7703.0,Albums
223,2021-07-09,7703.0,Albums
224,2021-07-10,8046.0,Albums
