,date,value,name_B08V58TSRV
107,2021-05-25,14634.0,Floor Cleaners
108,2021-05-26,14634.0,Floor Cleaners
109,2021-05-27,14634.0,Floor Cleaners
110,2021-05-28,14634.0,Floor Cleaners
111,2021-05-29,15022.0,Floor Cleaners
112,2021-05-30,15022.0,Floor Cleaners
113,2021-05-31,16529.0,Floor Cleaners
114,2021-06-01,16529.0,Floor Cleaners
115,2021-06-02,16529.0,Floor Cleaners
116,2021-06-03,17825.0,Floor Cleaners
117,2021-06-04,17825.0,Floor Cleaners
118,2021-06-05,17825.0,Floor Cleaners
119,2021-06-06,14257.0,Floor Cleaners
120,2021-06-07,14257.0,Floor Cleaners
121,2021-06-08,14257.0,Floor Cleaners
122,2021-06-09,14257.0,Floor Cleaners
123,2021-06-10,14257.0,Floor Cleaners
124,2021-06-11,17130.0,Floor Cleaners
125,2021-06-12,17130.0,Floor Cleaners
126,2021-06-13,17130.0,Floor Cleaners
127,2021-06-14,17126.0,Floor Cleaners
128,2021-06-15,17126.0,Floor Cleaners
129,2021-06-16,17126.0,Floor Cleaners
130,2021-06-17,17583.0,Floor Cleaners
131,2021-06-18,18156.0,Floor Cleaners
132,2021-06-19,18156.0,Floor Cleaners
133,2021-06-20,18019.0,Floor Cleaners
134,2021-06-21,17437.0,Floor Cleaners
135,2021-06-22,14848.0,Floor Cleaners
136,2021-06-23,14848.0,Floor Cleaners
137,2021-06-24,14848.0,Floor Cleaners
138,2021-06-25,14848.0,Floor Cleaners
139,2021-06-26,14848.0,Floor Cleaners
140,2021-06-27,14848.0,Floor Cleaners
141,2021-06-28,13249.0,Floor Cleaners
142,2021-06-29,12630.0,Floor Cleaners
143,2021-06-30,14621.0,Floor Cleaners
144,2021-07-01,14621.0,Floor Cleaners
145,2021-07-02,14621.0,Floor Cleaners
146,2021-07-03,15302.0,Floor Cleaners
147,2021-07-04,15302.0,Floor Cleaners
148,2021-07-05,15302.0,Floor Cleaners
149,2021-07-06,15302.0,Floor Cleaners
150,2021-07-07,15343.0,Floor Cleaners
151,2021-07-08,15343.0,Floor Cleaners
152,2021-07-09,16574.0,Floor Cleaners
153,2021-07-10,16574.0,Floor Cleaners
154,2021-07-11,14184.0,Floor Cleaners
