,date,value,name_B07W7Y94TD
65,2019-11-17,18725.0,Costumes
66,2019-11-18,30341.0,Costumes
67,2019-11-19,30341.0,Costumes
68,2019-11-20,24069.0,Costumes
69,2019-11-21,36270.0,Costumes
70,2019-11-22,43172.0,Costumes
71,2019-11-23,40411.0,Costumes
72,2019-11-24,31771.0,Costumes
73,2019-11-25,31771.0,Costumes
74,2019-11-26,62103.0,Costumes
75,2019-11-27,62103.0,Costumes
76,2019-11-28,59687.0,Costumes
77,2019-11-29,31749.0,Costumes
78,2019-11-30,32207.0,Costumes
79,2019-12-01,32207.0,Costumes
80,2019-12-02,53598.0,Costumes
81,2019-12-03,57843.0,Costumes
82,2019-12-04,57843.0,Costumes
83,2019-12-05,57843.0,Costumes
84,2019-12-06,120817.0,Costumes
85,2019-12-07,147012.0,Costumes
86,2019-12-08,94486.0,Costumes
87,2019-12-09,126658.0,Costumes
88,2019-12-10,116898.0,Costumes
89,2019-12-11,164459.0,Costumes
90,2019-12-12,96451.0,Costumes
91,2019-12-13,77969.0,Costumes
92,2019-12-14,51403.0,Costumes
93,2019-12-15,59089.0,Costumes
94,2019-12-16,92871.0,Costumes
95,2019-12-17,99855.0,Costumes
96,2019-12-18,88744.0,Costumes
97,2019-12-19,90661.0,Costumes
98,2019-12-20,73240.0,Costumes
99,2019-12-21,114267.0,Costumes
100,2019-12-22,111248.0,Costumes
101,2019-12-23,109604.0,Costumes
102,2019-12-24,110293.0,Costumes
103,2019-12-25,85551.0,Costumes
104,2019-12-26,63065.0,Costumes
105,2019-12-27,60326.0,Costumes
106,2019-12-28,53249.0,Costumes
107,2019-12-29,61443.0,Costumes
108,2019-12-30,80520.0,Costumes
109,2019-12-31,88253.0,Costumes
110,2020-01-01,84238.0,Costumes
111,2020-01-02,55880.0,Costumes
112,2020-01-03,52556.0,Costumes
113,2020-01-04,46285.0,Costumes
114,2020-01-05,61140.0,Costumes
115,2020-01-06,84875.0,Costumes
116,2020-01-07,71595.0,Costumes
117,2020-01-08,57468.0,Costumes
118,2020-01-09,58156.0,Costumes
119,2020-01-10,57175.0,Costumes
120,2020-01-11,53431.0,Costumes
121,2020-01-12,108208.0,Costumes
122,2020-01-13,175683.0,Costumes
123,2020-01-14,268874.0,Costumes
124,2020-01-15,335762.0,Costumes
125,2020-01-16,390564.0,Costumes
126,2020-01-17,401072.0,Costumes
127,2020-01-18,446983.0,Costumes
128,2020-01-19,455725.0,Costumes
129,2020-01-20,489934.0,Costumes
130,2020-01-21,515245.0,Costumes
131,2020-01-22,506809.0,Costumes
132,2020-01-23,529234.0,Costumes
133,2020-01-24,533980.0,Costumes
134,2020-01-25,362264.0,Costumes
135,2020-01-26,362264.0,Costumes
136,2020-01-27,362264.0,Costumes
137,2020-01-28,362264.0,Costumes
138,2020-01-29,362264.0,Costumes
139,2020-01-30,362264.0,Costumes
140,2020-01-31,374773.0,Costumes
141,2020-02-01,500045.0,Costumes
142,2020-02-02,564936.0,Costumes
143,2020-02-03,604565.0,Costumes
144,2020-02-04,132424.0,Costumes
145,2020-02-05,79528.0,Costumes
146,2020-02-06,98759.0,Costumes
147,2020-02-07,87269.0,Costumes
148,2020-02-08,57137.0,Costumes
149,2020-02-09,42689.0,Costumes
150,2020-02-10,29863.0,Costumes
151,2020-02-11,28015.0,Costumes
152,2020-02-12,22464.0,Costumes
153,2020-02-13,18084.0,Costumes
154,2020-02-14,17371.0,Costumes
155,2020-02-15,16942.0,Costumes
156,2020-02-16,12154.0,Costumes
157,2020-02-17,16264.0,Costumes
158,2020-02-18,13526.0,Costumes
159,2020-02-19,15676.0,Costumes
160,2020-02-20,11487.0,Costumes
161,2020-02-21,3760.0,Costumes
162,2020-02-22,4242.0,Costumes
163,2020-02-23,2815.0,Costumes
164,2020-02-24,3829.0,Costumes
165,2020-02-25,3829.0,Costumes
166,2020-02-26,3829.0,Costumes
167,2020-02-27,3829.0,Costumes
168,2020-02-28,3829.0,Costumes
169,2020-02-29,3829.0,Costumes
170,2020-03-01,37988.0,Costumes
171,2020-03-02,37008.0,Costumes
172,2020-03-03,37008.0,Costumes
173,2020-03-04,37008.0,Costumes
174,2020-03-05,59016.0,Costumes
175,2020-03-06,59016.0,Costumes
176,2020-03-07,59016.0,Costumes
177,2020-03-08,59016.0,Costumes
178,2020-03-09,59016.0,Costumes
179,2020-03-10,59016.0,Costumes
180,2020-03-11,59016.0,Costumes
181,2020-03-12,59016.0,Costumes
182,2020-03-13,59016.0,Costumes
183,2020-03-14,-1.0,Costumes
