,date,value,name_B08349D354
239,2020-12-08,2810.0,Flags
240,2020-12-09,2560.0,Flags
241,2020-12-10,2560.0,Flags
242,2020-12-11,2560.0,Flags
243,2020-12-12,2465.0,Flags
244,2020-12-13,2465.0,Flags
245,2020-12-14,2465.0,Flags
246,2020-12-15,2010.0,Flags
247,2020-12-16,2010.0,Flags
248,2020-12-17,2010.0,Flags
249,2020-12-18,2875.0,Flags
250,2020-12-19,2875.0,Flags
251,2020-12-20,2875.0,Flags
252,2020-12-21,3330.0,Flags
253,2020-12-22,3128.0,Flags
254,2020-12-23,3028.0,Flags
255,2020-12-24,2857.0,Flags
256,2020-12-25,2857.0,Flags
257,2020-12-26,2857.0,Flags
258,2020-12-27,2857.0,Flags
259,2020-12-28,2458.0,Flags
260,2020-12-29,2601.0,Flags
261,2020-12-30,2601.0,Flags
262,2020-12-31,2601.0,Flags
263,2021-01-01,2601.0,Flags
264,2021-01-02,2640.0,Flags
265,2021-01-03,2640.0,Flags
266,2021-01-04,2640.0,Flags
267,2021-01-05,1600.0,Flags
268,2021-01-06,1663.0,Flags
269,2021-01-07,1663.0,Flags
270,2021-01-08,1386.0,Flags
271,2021-01-09,1386.0,Flags
272,2021-01-10,1386.0,Flags
273,2021-01-11,1899.0,Flags
274,2021-01-12,1899.0,Flags
275,2021-01-13,1899.0,Flags
276,2021-01-14,1899.0,Flags
277,2021-01-15,1717.0,Flags
278,2021-01-16,1717.0,Flags
279,2021-01-17,1717.0,Flags
280,2021-01-18,2019.0,Flags
281,2021-01-19,2019.0,Flags
282,2021-01-20,2019.0,Flags
283,2021-01-21,1101.0,Flags
284,2021-01-22,1101.0,Flags
285,2021-01-23,1101.0,Flags
286,2021-01-24,1885.0,Flags
287,2021-01-25,1885.0,Flags
288,2021-01-26,1885.0,Flags
289,2021-01-27,2735.0,Flags
290,2021-01-28,2735.0,Flags
291,2021-01-29,2735.0,Flags
292,2021-01-30,2004.0,Flags
293,2021-01-31,2004.0,Flags
294,2021-02-01,2004.0,Flags
295,2021-02-02,3489.0,Flags
296,2021-02-03,3340.0,Flags
297,2021-02-04,3340.0,Flags
298,2021-02-05,3340.0,Flags
299,2021-02-06,4048.0,Flags
300,2021-02-07,4048.0,Flags
301,2021-02-08,4199.0,Flags
302,2021-02-09,4199.0,Flags
303,2021-02-10,4199.0,Flags
304,2021-02-11,4199.0,Flags
305,2021-02-12,6983.0,Flags
306,2021-02-13,6983.0,Flags
307,2021-02-14,6983.0,Flags
308,2021-02-15,6983.0,Flags
309,2021-02-16,5916.0,Flags
310,2021-02-17,5916.0,Flags
311,2021-02-18,5916.0,Flags
312,2021-02-19,5910.0,Flags
313,2021-02-20,5910.0,Flags
314,2021-02-21,5910.0,Flags
315,2021-02-22,5910.0,Flags
316,2021-02-23,6340.0,Flags
317,2021-02-24,6340.0,Flags
318,2021-02-25,6340.0,Flags
319,2021-02-26,6341.0,Flags
320,2021-02-27,6341.0,Flags
321,2021-02-28,6341.0,Flags
322,2021-03-01,6341.0,Flags
