,product,product_list_0
105,../data/all_dict/B08ZPS1DM1,B08ZPS1DM1
106,../data/all_dict/B08ZPWKH31,B08ZPWKH31
107,../data/all_dict/B0911F9YD2,B0911F9YD2
108,../data/all_dict/B09149KRC9,B09149KRC9
109,../data/all_dict/B0914Z6J4X,
110,../data/all_dict/B09173R6R7,B09173R6R7
111,../data/all_dict/B0917FW8GC,B0917FW8GC
112,../data/all_dict/B0917JG7ZY,B0917JG7ZY
113,../data/all_dict/B091BFTQWR,B091BFTQWR
114,../data/all_dict/B091C6268B,B091C6268B
115,../data/all_dict/B091FDFKJQ,B091FDFKJQ
116,../data/all_dict/B091HBV13C,B091HBV13C
117,../data/all_dict/B091JB1X64,B091JB1X64
118,../data/all_dict/B091JC65GK,B091JC65GK
119,../data/all_dict/B091P3WHMN,B091P3WHMN
120,../data/all_dict/B091PP2HBN,B091PP2HBN
121,../data/all_dict/B0929HHCGP,B0929HHCGP
122,../data/all_dict/B092DQ4SMQ,B092DQ4SMQ
123,../data/all_dict/B092VNC1GB,B092VNC1GB
124,../data/all_dict/B0932VYJ9R,B0932VYJ9R
125,../data/all_dict/B0936SQVCM,B0936SQVCM
126,../data/all_dict/B0938328BQ,B0938328BQ
127,../data/all_dict/B093GNV214,B093GNV214
128,../data/all_dict/B093LQ974H,B093LQ974H
129,../data/all_dict/B0943QKT1T,B0943QKT1T
130,../data/all_dict/B0945MWZKL,B0945MWZKL
131,../data/all_dict/B094Z8KXC2,B094Z8KXC2
132,../data/all_dict/B0955FLTK6,B0955FLTK6
133,../data/all_dict/B095P54QLH,B095P54QLH
134,../data/all_dict/B095PS6QW9,
135,../data/all_dict/B095SM6GFX,B095SM6GFX
136,../data/all_dict/B095SMKKWC,B095SMKKWC
137,../data/all_dict/B095XCVS7N,B095XCVS7N
138,../data/all_dict/B0964W3FFF,B0964W3FFF
